in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,NO,*,*,YES,*,YES,YES,*,1287,1455,"9,608,613","8,463,162",0.8808
YES,NO,*,*,YES,YES,YES,YES,NO,YES,0,1454,"11,206,717",0,0.0000
YES,*,NO,NO,*,*,*,YES,YES,*,1290,1454,"9,771,398","8,633,535",0.8836
YES,*,*,NO,*,*,*,YES,YES,*,1290,1454,"9,771,398","8,633,535",0.8836
NO,*,NO,NO,YES,YES,NO,*,*,*,936,1454,"8,340,063","5,367,469",0.6436
NO,*,*,NO,YES,YES,NO,*,*,*,936,1454,"8,340,063","5,367,469",0.6436
YES,*,NO,*,YES,NO,*,NO,*,*,359,1453,"9,363,775","2,142,158",0.2288
*,NO,NO,*,*,*,*,NO,YES,YES,1362,1452,"7,430,525","6,933,476",0.9331
YES,NO,NO,*,YES,YES,YES,YES,NO,*,0,1452,"11,225,219",0,0.0000
*,YES,*,YES,*,*,*,*,YES,YES,1195,1451,"10,409,614","8,733,162",0.8390
YES,YES,*,*,YES,NO,YES,YES,NO,*,1,1451,"12,200,592","2,791",0.0002
*,NO,NO,NO,YES,YES,NO,YES,YES,*,1315,1451,"9,080,492","8,181,995",0.9011
*,NO,*,NO,YES,YES,NO,YES,YES,*,1315,1451,"9,080,492","8,181,995",0.9011
YES,NO,*,*,*,YES,*,YES,YES,*,1283,1450,"9,601,046","8,454,280",0.8806
*,YES,*,YES,*,NO,*,*,YES,*,1199,1450,"10,683,809","9,021,093",0.8444
*,*,NO,NO,*,YES,YES,YES,YES,*,1324,1449,"8,501,897","7,670,567",0.9022
*,*,*,NO,*,YES,YES,YES,YES,*,1324,1449,"8,501,897","7,670,567",0.9022
*,YES,NO,*,*,YES,NO,*,*,*,80,1449,"8,326,914","458,014",0.0550
YES,*,NO,NO,YES,YES,YES,*,NO,*,0,1448,"11,195,209",0,0.0000
YES,*,*,NO,YES,YES,YES,*,NO,*,0,1448,"11,195,209",0,0.0000
YES,*,NO,YES,*,NO,YES,YES,*,*,216,1448,"11,805,578","1,654,415",0.1401
*,*,NO,NO,YES,YES,YES,*,YES,YES,1322,1447,"8,421,153","7,586,140",0.9008
*,*,*,NO,YES,YES,YES,*,YES,YES,1322,1447,"8,421,153","7,586,140",0.9008
YES,YES,*,YES,YES,*,YES,YES,*,YES,125,1447,"11,979,735","986,445",0.0823
NO,NO,*,YES,*,NO,*,*,*,YES,719,1447,"8,810,825","4,246,950",0.4820
*,*,*,YES,YES,NO,*,NO,NO,*,5,1447,"9,576,263","48,173",0.0050
NO,NO,NO,*,YES,YES,NO,YES,*,*,849,1447,"8,584,199","4,974,547",0.5795
NO,*,*,YES,YES,NO,*,*,YES,*,1255,1446,"9,153,621","7,989,021",0.8728
YES,NO,NO,*,YES,NO,NO,YES,NO,YES,5,1445,"11,155,783","14,744",0.0013
NO,NO,NO,*,*,YES,NO,YES,*,YES,852,1445,"8,598,852","4,999,850",0.5815
*,*,NO,NO,YES,YES,NO,YES,YES,YES,1305,1444,"9,000,181","8,085,023",0.8983
*,*,*,NO,YES,YES,NO,YES,YES,YES,1305,1444,"9,000,181","8,085,023",0.8983
*,YES,*,*,YES,*,*,NO,*,YES,235,1444,"9,340,227","1,565,702",0.1676
NO,YES,NO,*,*,NO,*,YES,*,YES,433,1444,"9,414,479","2,866,398",0.3045
YES,*,NO,YES,YES,NO,YES,*,*,YES,223,1444,"11,550,832","1,638,373",0.1418
*,YES,NO,YES,*,NO,YES,*,*,*,278,1444,"10,868,623","1,911,298",0.1759
*,*,*,*,*,YES,YES,YES,YES,YES,1317,1442,"8,452,913","7,609,670",0.9002
*,*,*,*,YES,NO,NO,NO,NO,YES,4,1441,"9,344,441","43,153",0.0046
*,NO,NO,NO,*,YES,YES,YES,YES,*,1316,1441,"8,475,803","7,644,473",0.9019
*,NO,*,NO,*,YES,YES,YES,YES,*,1316,1441,"8,475,803","7,644,473",0.9019
*,*,NO,NO,*,*,*,NO,*,*,695,1441,"7,453,124","3,533,163",0.4741
*,*,*,NO,*,*,*,NO,*,*,695,1441,"7,453,124","3,533,163",0.4741
*,NO,NO,NO,YES,YES,YES,*,YES,YES,1315,1440,"8,398,727","7,563,714",0.9006
*,NO,*,NO,YES,YES,YES,*,YES,YES,1315,1440,"8,398,727","7,563,714",0.9006
YES,*,NO,*,YES,NO,*,*,YES,YES,1239,1440,"10,059,558","8,668,674",0.8617
NO,YES,*,*,*,NO,NO,*,*,YES,417,1439,"9,500,013","2,805,657",0.2953
YES,NO,NO,YES,*,*,NO,NO,NO,*,2,1439,"7,887,714","8,948",0.0011
YES,*,NO,*,*,NO,*,NO,*,YES,354,1438,"9,224,991","2,099,031",0.2275
YES,*,NO,NO,*,YES,YES,YES,NO,*,0,1438,"11,197,486",0,0.0000
YES,*,*,NO,*,YES,YES,YES,NO,*,0,1438,"11,197,486",0,0.0000
*,*,*,*,YES,YES,YES,YES,YES,*,1312,1438,"8,433,019","7,577,321",0.8985
YES,*,*,YES,YES,*,*,YES,YES,*,1197,1438,"10,763,091","9,040,022",0.8399
NO,NO,*,*,YES,NO,NO,*,*,*,744,1438,"8,599,890","4,301,767",0.5002
YES,NO,NO,*,*,YES,YES,YES,NO,YES,0,1437,"11,088,041",0,0.0000
YES,YES,*,*,*,*,YES,YES,NO,YES,1,1437,"11,944,454","2,791",0.0002
*,NO,NO,*,*,NO,NO,*,YES,*,1296,1437,"8,755,631","7,870,433",0.8989
NO,YES,NO,*,YES,*,NO,*,*,*,412,1437,"9,283,275","2,698,668",0.2907
NO,YES,*,*,YES,*,NO,YES,*,*,369,1436,"9,595,760","2,571,586",0.2680
*,*,*,YES,*,NO,*,NO,NO,YES,4,1435,"9,489,786","43,153",0.0045
YES,NO,NO,YES,YES,*,NO,NO,NO,*,2,1435,"7,846,761","8,948",0.0011
YES,NO,NO,NO,*,YES,YES,*,NO,*,0,1435,"11,123,156",0,0.0000
YES,NO,*,NO,*,YES,YES,*,NO,*,0,1435,"11,123,156",0,0.0000
YES,NO,NO,YES,*,*,NO,NO,NO,YES,2,1434,"7,856,646","8,948",0.0011
YES,*,NO,NO,*,YES,YES,*,NO,YES,0,1434,"11,066,019",0,0.0000
YES,*,*,NO,*,YES,YES,*,NO,YES,0,1434,"11,066,019",0,0.0000
YES,*,*,YES,YES,NO,*,*,YES,YES,1214,1434,"10,543,253","8,987,646",0.8525
NO,NO,*,*,YES,*,NO,*,NO,*,5,1434,"8,407,213","20,723",0.0025
YES,NO,NO,*,YES,YES,YES,YES,NO,YES,0,1433,"11,063,341",0,0.0000
NO,*,NO,YES,YES,*,*,YES,NO,YES,2,1433,"9,072,143","5,045",0.0006
*,*,NO,*,*,YES,YES,YES,YES,YES,1308,1433,"8,400,633","7,557,390",0.8996
NO,YES,*,*,*,NO,NO,YES,*,*,379,1433,"9,751,520","2,656,806",0.2725
NO,YES,*,YES,YES,*,NO,*,*,*,388,1433,"9,584,284","2,699,175",0.2816
*,NO,*,*,*,YES,YES,YES,YES,YES,1307,1432,"8,410,058","7,566,816",0.8997
*,*,NO,YES,*,YES,*,NO,NO,*,0,1432,"7,370,822",0,0.0000
NO,NO,*,YES,YES,NO,*,*,*,YES,709,1431,"8,719,729","4,192,390",0.4808
YES,YES,*,YES,YES,*,YES,*,NO,*,0,1431,"11,844,186",0,0.0000
YES,NO,NO,YES,YES,*,NO,NO,NO,YES,2,1430,"7,815,693","8,948",0.0011
YES,YES,*,*,YES,NO,YES,*,NO,YES,1,1430,"11,953,164","2,791",0.0002
NO,*,NO,*,YES,*,YES,*,YES,*,1299,1430,"7,952,005","7,124,576",0.8959
*,NO,NO,NO,YES,YES,NO,YES,YES,YES,1294,1429,"8,939,437","8,047,946",0.9003
*,NO,*,NO,YES,YES,NO,YES,YES,YES,1294,1429,"8,939,437","8,047,946",0.9003
YES,*,NO,YES,*,*,YES,YES,*,YES,198,1429,"11,417,029","1,501,708",0.1315
NO,NO,NO,NO,*,YES,NO,*,*,YES,937,1429,"8,262,594","5,413,588",0.6552
NO,NO,*,NO,*,YES,NO,*,*,YES,937,1429,"8,262,594","5,413,588",0.6552
*,*,NO,*,YES,YES,YES,YES,YES,*,1304,1429,"8,375,368","7,529,711",0.8990
YES,*,NO,YES,*,YES,*,NO,*,*,165,1429,"7,481,492","851,118",0.1138
YES,YES,*,YES,*,NO,YES,YES,*,YES,132,1428,"11,935,700","1,031,044",0.0864
NO,*,*,YES,YES,NO,NO,*,NO,*,3,1428,"9,412,034","20,596",0.0022
*,YES,NO,*,*,YES,*,*,NO,*,0,1428,"8,203,305",0,0.0000
*,NO,*,*,YES,YES,YES,YES,YES,*,1303,1428,"8,386,492","7,540,835",0.8992
*,YES,NO,YES,YES,*,YES,*,*,*,265,1428,"10,590,543","1,830,932",0.1729
YES,*,NO,NO,YES,YES,YES,YES,NO,*,0,1427,"11,118,908",0,0.0000
YES,*,*,NO,YES,YES,YES,YES,NO,*,0,1427,"11,118,908",0,0.0000
*,*,NO,NO,YES,NO,*,YES,*,*,385,1427,"9,572,369","2,500,406",0.2612
*,*,*,NO,YES,NO,*,YES,*,*,385,1427,"9,572,369","2,500,406",0.2612
*,*,NO,YES,*,YES,*,NO,NO,YES,0,1426,"7,338,031",0,0.0000
YES,*,NO,NO,YES,YES,YES,*,NO,YES,0,1426,"11,012,755",0,0.0000
YES,*,*,NO,YES,YES,YES,*,NO,YES,0,1426,"11,012,755",0,0.0000
NO,*,NO,YES,*,NO,*,*,NO,YES,2,1426,"9,089,461","10,838",0.0012
YES,NO,NO,*,*,YES,*,NO,NO,*,0,1426,"7,350,653",0,0.0000
*,NO,NO,YES,*,NO,*,*,YES,*,1268,1426,"9,059,306","8,036,510",0.8871
NO,YES,NO,YES,*,*,*,YES,*,*,394,1426,"9,454,063","2,657,833",0.2811
*,*,*,YES,YES,NO,*,NO,NO,YES,4,1425,"9,397,990","43,153",0.0046
NO,NO,NO,*,*,*,*,YES,NO,YES,4,1425,"8,809,925","11,795",0.0013
*,NO,NO,*,*,YES,YES,YES,YES,YES,1300,1425,"8,373,293","7,530,050",0.8993
*,YES,*,YES,YES,*,*,*,YES,YES,1172,1425,"10,203,107","8,562,717",0.8392
YES,NO,NO,NO,YES,YES,YES,*,NO,*,0,1425,"11,049,965",0,0.0000
YES,NO,*,NO,YES,YES,YES,*,NO,*,0,1425,"11,049,965",0,0.0000
*,NO,NO,*,YES,*,*,NO,YES,*,1331,1425,"7,249,229","6,726,085",0.9278
NO,*,*,YES,*,*,NO,*,YES,*,1260,1425,"8,677,311","7,679,556",0.8850
NO,*,NO,NO,*,*,NO,YES,*,YES,858,1424,"8,466,665","5,062,593",0.5979
NO,*,*,NO,*,*,NO,YES,*,YES,858,1424,"8,466,665","5,062,593",0.5979
YES,*,NO,*,*,YES,*,YES,YES,YES,1259,1423,"9,368,228","8,246,590",0.8803
YES,NO,*,*,*,YES,*,YES,YES,YES,1259,1423,"9,408,053","8,275,809",0.8797
NO,NO,NO,NO,*,*,YES,*,*,YES,911,1423,"8,010,433","4,746,072",0.5925
NO,NO,*,NO,*,*,YES,*,*,YES,911,1423,"8,010,433","4,746,072",0.5925
*,*,NO,YES,YES,YES,*,NO,NO,*,0,1423,"7,289,801",0,0.0000
YES,YES,*,YES,*,NO,YES,*,NO,*,0,1423,"11,939,461",0,0.0000
NO,NO,NO,NO,YES,YES,NO,*,*,*,925,1423,"8,194,060","5,316,499",0.6488
NO,NO,*,NO,YES,YES,NO,*,*,*,925,1423,"8,194,060","5,316,499",0.6488
*,NO,NO,*,YES,YES,YES,YES,YES,*,1297,1422,"8,354,396","7,508,739",0.8988
NO,NO,NO,NO,*,*,YES,YES,*,*,892,1422,"8,116,037","4,747,223",0.5849
NO,NO,*,NO,*,*,YES,YES,*,*,892,1422,"8,116,037","4,747,223",0.5849
NO,NO,*,YES,YES,*,*,YES,*,*,578,1422,"8,904,925","3,480,772",0.3909
NO,NO,NO,*,YES,YES,NO,YES,*,YES,835,1421,"8,456,198","4,895,451",0.5789
NO,*,NO,NO,YES,YES,NO,*,*,YES,918,1421,"8,158,082","5,265,803",0.6455
NO,*,*,NO,YES,YES,NO,*,*,YES,918,1421,"8,158,082","5,265,803",0.6455
NO,*,NO,*,*,NO,*,YES,NO,YES,2,1419,"9,059,759","7,256",0.0008
*,*,NO,*,*,*,NO,NO,YES,YES,1314,1419,"7,418,980","6,824,455",0.9199
*,*,NO,YES,YES,YES,*,NO,NO,YES,0,1418,"7,261,291",0,0.0000
YES,*,NO,YES,*,YES,*,NO,*,YES,159,1418,"7,407,070","806,249",0.1088
*,*,NO,NO,*,YES,YES,YES,YES,YES,1293,1417,"8,309,882","7,482,875",0.9005
*,*,*,NO,*,YES,YES,YES,YES,YES,1293,1417,"8,309,882","7,482,875",0.9005
NO,*,NO,NO,*,*,YES,YES,*,YES,881,1417,"8,009,585","4,637,057",0.5789
NO,*,*,NO,*,*,YES,YES,*,YES,881,1417,"8,009,585","4,637,057",0.5789
NO,YES,NO,YES,*,NO,*,*,*,YES,439,1417,"9,292,747","2,923,393",0.3146
YES,*,NO,NO,*,YES,*,*,YES,*,1275,1417,"9,108,579","8,130,093",0.8926
YES,*,*,NO,*,YES,*,*,YES,*,1275,1417,"9,108,579","8,130,093",0.8926
YES,*,NO,*,YES,NO,*,NO,*,YES,347,1416,"9,054,905","2,048,247",0.2262
NO,NO,*,*,*,*,NO,YES,YES,*,1297,1416,"8,510,985","7,808,885",0.9175
YES,*,NO,*,YES,YES,*,YES,YES,*,1250,1416,"9,306,100","8,177,479",0.8787
YES,NO,NO,*,*,YES,*,NO,NO,YES,0,1415,"7,277,283",0,0.0000
*,*,NO,NO,YES,YES,YES,YES,YES,*,1291,1415,"8,297,988","7,468,567",0.9000
*,*,*,NO,YES,YES,YES,YES,YES,*,1291,1415,"8,297,988","7,468,567",0.9000
YES,NO,*,*,YES,YES,*,YES,YES,*,1249,1415,"9,334,982","8,195,756",0.8780
YES,*,*,*,*,NO,NO,*,YES,*,1203,1415,"10,222,097","8,743,801",0.8554
NO,YES,NO,*,*,NO,NO,*,*,*,414,1414,"9,370,459","2,761,852",0.2947
YES,NO,NO,NO,*,YES,YES,*,NO,YES,0,1413,"10,936,375",0,0.0000
YES,NO,*,NO,*,YES,YES,*,NO,YES,0,1413,"10,936,375",0,0.0000
NO,YES,*,*,YES,NO,NO,*,*,YES,406,1413,"9,283,369","2,734,372",0.2945
YES,*,NO,YES,YES,YES,*,NO,*,*,157,1412,"7,339,693","787,195",0.1073
NO,*,*,YES,*,*,NO,YES,NO,YES,3,1411,"9,234,448","14,803",0.0016
*,*,NO,YES,*,NO,YES,YES,NO,YES,0,1411,"11,039,633",0,0.0000
*,*,*,*,YES,YES,YES,YES,YES,YES,1287,1411,"8,262,541","7,421,208",0.8982
NO,*,*,*,*,*,NO,NO,*,*,827,1411,"7,256,141","4,271,806",0.5887
*,YES,NO,NO,*,*,*,*,*,*,286,1411,"9,326,940","1,848,396",0.1982
*,YES,*,NO,*,*,*,*,*,*,286,1411,"9,326,940","1,848,396",0.1982
YES,*,NO,NO,*,YES,YES,YES,NO,YES,0,1410,"10,965,030",0,0.0000
YES,*,*,NO,*,YES,YES,YES,NO,YES,0,1410,"10,965,030",0,0.0000
*,NO,NO,NO,*,YES,YES,YES,YES,YES,1286,1410,"8,288,002","7,460,995",0.9002
*,NO,*,NO,*,YES,YES,YES,YES,YES,1286,1410,"8,288,002","7,460,995",0.9002
*,YES,NO,*,*,YES,NO,*,*,YES,71,1410,"8,048,938","384,011",0.0477
YES,NO,NO,NO,*,YES,YES,YES,NO,*,0,1410,"11,013,086",0,0.0000
YES,NO,*,NO,*,YES,YES,YES,NO,*,0,1410,"11,013,086",0,0.0000
*,NO,NO,*,*,NO,*,NO,*,*,706,1410,"8,046,873","3,764,378",0.4678
*,YES,NO,*,YES,YES,NO,*,*,*,74,1409,"8,029,557","407,749",0.0508
*,*,NO,NO,*,NO,*,*,NO,*,6,1408,"9,575,140","49,786",0.0052
*,*,*,NO,*,NO,*,*,NO,*,6,1408,"9,575,140","49,786",0.0052
*,NO,NO,NO,YES,YES,YES,YES,YES,*,1284,1408,"8,277,016","7,447,595",0.8998
*,NO,*,NO,YES,YES,YES,YES,YES,*,1284,1408,"8,277,016","7,447,595",0.8998
*,YES,*,YES,YES,NO,*,*,YES,*,1162,1408,"10,357,390","8,745,272",0.8444
YES,YES,*,*,YES,*,YES,YES,NO,YES,1,1407,"11,694,608","2,791",0.0002
YES,YES,*,YES,YES,NO,YES,YES,*,YES,123,1407,"11,758,987","970,931",0.0826
YES,*,NO,NO,YES,YES,YES,YES,NO,YES,0,1406,"10,940,734",0,0.0000
YES,*,*,NO,YES,YES,YES,YES,NO,YES,0,1406,"10,940,734",0,0.0000
NO,NO,NO,*,YES,*,*,YES,NO,YES,4,1406,"8,696,146","11,795",0.0014
YES,NO,NO,NO,YES,YES,YES,*,NO,YES,0,1406,"10,888,087",0,0.0000
YES,NO,*,NO,YES,YES,YES,*,NO,YES,0,1406,"10,888,087",0,0.0000
YES,*,*,YES,*,*,*,YES,YES,YES,1173,1406,"10,437,972","8,765,055",0.8397
YES,*,NO,YES,YES,YES,*,NO,*,YES,154,1406,"7,299,659","767,176",0.1051
YES,NO,NO,NO,YES,YES,YES,YES,NO,*,0,1406,"10,981,595",0,0.0000
YES,NO,*,NO,YES,YES,YES,YES,NO,*,0,1406,"10,981,595",0,0.0000
NO,*,NO,YES,YES,NO,*,*,NO,YES,2,1405,"8,910,287","10,838",0.0012
*,YES,NO,*,YES,*,YES,YES,*,YES,243,1405,"10,468,563","1,638,259",0.1565
NO,YES,NO,*,YES,NO,*,YES,*,YES,420,1405,"9,111,241","2,785,832",0.3058
NO,*,*,*,YES,NO,NO,YES,NO,*,3,1405,"9,319,141","17,014",0.0018
*,NO,NO,*,YES,NO,NO,*,YES,*,1266,1405,"8,580,116","7,699,747",0.8974
YES,*,*,YES,*,NO,NO,NO,*,*,262,1405,"9,387,519","1,661,153",0.1770
*,*,NO,*,YES,YES,YES,YES,YES,YES,1279,1403,"8,214,931","7,373,597",0.8976
*,NO,*,*,YES,YES,YES,YES,YES,YES,1279,1403,"8,230,269","7,388,935",0.8978
YES,NO,NO,*,YES,YES,*,NO,NO,*,0,1403,"7,202,409",0,0.0000
YES,YES,NO,*,*,YES,*,*,*,*,61,1403,"8,145,341","386,508",0.0475
YES,*,NO,YES,YES,*,YES,YES,*,YES,185,1401,"11,191,014","1,403,762",0.1254
*,YES,NO,*,*,NO,YES,*,NO,*,1,1401,"10,725,254","2,791",0.0003
*,NO,NO,YES,YES,NO,*,*,YES,*,1243,1400,"8,883,569","7,861,971",0.8850
NO,*,*,*,*,YES,YES,*,*,*,876,1400,"7,826,308","4,574,394",0.5845
YES,*,*,*,*,NO,*,YES,YES,*,1177,1399,"10,727,501","9,114,716",0.8497
YES,NO,NO,*,*,YES,*,YES,YES,*,1242,1399,"9,253,349","8,174,367",0.8834
*,NO,NO,*,YES,*,*,NO,YES,YES,1308,1398,"7,092,527","6,595,478",0.9299
*,YES,NO,*,*,*,*,*,YES,YES,1169,1398,"9,578,833","8,101,926",0.8458
NO,YES,*,*,*,*,*,YES,NO,*,2,1398,"9,204,262","11,668",0.0013
YES,NO,NO,*,YES,YES,*,NO,NO,YES,0,1397,"7,159,091",0,0.0000
NO,*,*,YES,YES,*,NO,YES,NO,YES,3,1397,"9,114,208","14,803",0.0016
*,NO,NO,*,YES,YES,YES,YES,YES,YES,1273,1397,"8,198,173","7,356,839",0.8974
NO,*,*,*,*,*,YES,*,YES,YES,1273,1397,"7,696,119","6,909,928",0.8978
*,*,NO,*,*,*,*,*,*,NO,370,1396,"10,563,582","2,667,876",0.2526
YES,NO,NO,NO,*,YES,*,*,YES,*,1259,1396,"8,997,335","8,045,538",0.8942
YES,NO,*,NO,*,YES,*,*,YES,*,1259,1396,"8,997,335","8,045,538",0.8942
YES,*,NO,YES,YES,NO,YES,YES,*,*,200,1396,"11,377,194","1,541,565",0.1355
NO,*,NO,*,*,YES,YES,*,*,*,873,1396,"7,812,349","4,561,904",0.5839
YES,NO,*,*,YES,YES,*,YES,YES,YES,1232,1395,"9,201,479","8,076,775",0.8778
NO,YES,NO,YES,YES,NO,*,*,*,YES,434,1395,"9,095,786","2,887,816",0.3175
*,*,NO,*,YES,*,NO,NO,YES,*,1286,1395,"7,266,185","6,637,335",0.9135
NO,*,*,YES,*,NO,*,*,YES,YES,1214,1394,"8,689,505","7,616,380",0.8765
NO,NO,NO,NO,YES,YES,NO,*,*,YES,908,1394,"8,040,848","5,221,599",0.6494
NO,NO,*,NO,YES,YES,NO,*,*,YES,908,1394,"8,040,848","5,221,599",0.6494
NO,NO,NO,NO,YES,*,YES,*,*,YES,891,1394,"7,843,544","4,632,820",0.5907
NO,NO,*,NO,YES,*,YES,*,*,YES,891,1394,"7,843,544","4,632,820",0.5907
*,YES,*,*,*,*,*,YES,YES,YES,1145,1393,"9,973,432","8,333,948",0.8356
*,YES,NO,*,*,NO,YES,YES,*,YES,247,1393,"10,523,737","1,682,912",0.1599
YES,*,NO,*,YES,YES,*,YES,YES,YES,1229,1392,"9,141,265","8,027,167",0.8781
YES,YES,*,YES,*,*,YES,YES,NO,*,0,1391,"11,645,163",0,0.0000
*,*,NO,YES,YES,NO,YES,YES,NO,YES,0,1390,"10,873,872",0,0.0000
YES,NO,NO,NO,*,YES,YES,YES,NO,YES,0,1390,"10,839,038",0,0.0000
YES,NO,*,NO,*,YES,YES,YES,NO,YES,0,1390,"10,839,038",0,0.0000
YES,*,NO,*,*,NO,YES,*,NO,YES,3,1390,"11,262,001","25,113",0.0022
YES,YES,*,YES,YES,NO,YES,*,NO,*,0,1390,"11,630,386",0,0.0000
NO,*,*,*,*,NO,NO,*,YES,*,1225,1390,"8,555,286","7,565,242",0.8843
NO,*,*,YES,YES,*,NO,*,YES,*,1228,1390,"8,423,157","7,452,001",0.8847
NO,NO,*,*,*,*,NO,*,NO,YES,5,1389,"8,093,103","20,723",0.0026
*,YES,NO,*,*,YES,*,*,NO,YES,0,1389,"7,937,692",0,0.0000
*,*,NO,NO,YES,YES,YES,YES,YES,YES,1266,1389,"8,137,551","7,312,453",0.8986
*,*,*,NO,YES,YES,YES,YES,YES,YES,1266,1389,"8,137,551","7,312,453",0.8986
YES,*,NO,NO,YES,*,*,YES,YES,*,1227,1389,"9,295,040","8,174,983",0.8795
YES,*,*,NO,YES,*,*,YES,YES,*,1227,1389,"9,295,040","8,174,983",0.8795
NO,*,*,*,*,YES,NO,*,YES,*,1289,1389,"7,771,808","7,224,398",0.9296
YES,*,*,YES,YES,NO,NO,NO,*,*,256,1389,"9,238,867","1,604,069",0.1736
NO,*,NO,*,YES,NO,*,YES,NO,YES,2,1388,"8,814,174","7,256",0.0008
YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,0,1387,"10,819,716",0,0.0000
YES,NO,*,NO,YES,YES,YES,YES,NO,YES,0,1387,"10,819,716",0,0.0000
YES,YES,*,YES,*,*,YES,*,NO,YES,0,1387,"11,456,333",0,0.0000
NO,*,NO,NO,YES,*,NO,YES,*,YES,835,1387,"8,229,238","4,920,486",0.5979
NO,*,*,NO,YES,*,NO,YES,*,YES,835,1387,"8,229,238","4,920,486",0.5979
*,YES,NO,YES,YES,NO,YES,*,*,*,263,1386,"10,378,934","1,810,887",0.1745
YES,*,NO,YES,*,*,YES,*,NO,*,0,1385,"10,964,398",0,0.0000
*,YES,NO,*,YES,YES,*,*,NO,*,0,1385,"7,894,865",0,0.0000
*,NO,*,*,*,NO,YES,*,*,*,468,1385,"10,015,133","2,966,950",0.2962
NO,*,NO,NO,YES,*,YES,YES,*,YES,861,1384,"7,835,042","4,525,370",0.5776
NO,*,*,NO,YES,*,YES,YES,*,YES,861,1384,"7,835,042","4,525,370",0.5776
*,YES,NO,*,YES,YES,NO,*,*,YES,68,1384,"7,849,886","363,674",0.0463
NO,*,NO,*,YES,NO,NO,*,NO,*,3,1384,"8,759,873","16,183",0.0018
*,NO,NO,NO,YES,YES,YES,YES,YES,YES,1260,1383,"8,120,793","7,295,695",0.8984
*,NO,*,NO,YES,YES,YES,YES,YES,YES,1260,1383,"8,120,793","7,295,695",0.8984
NO,NO,*,*,*,NO,NO,*,*,YES,730,1383,"8,155,541","4,172,101",0.5116
NO,NO,*,*,*,NO,*,YES,*,*,610,1383,"8,783,605","3,751,645",0.4271
YES,*,*,YES,YES,*,*,YES,YES,YES,1150,1382,"10,234,534","8,578,932",0.8382
*,*,NO,*,*,NO,*,NO,NO,*,6,1382,"8,937,537","43,770",0.0049
YES,*,NO,NO,*,*,*,YES,YES,YES,1222,1381,"9,216,917","8,107,332",0.8796
YES,*,*,NO,*,*,*,YES,YES,YES,1222,1381,"9,216,917","8,107,332",0.8796
*,*,NO,YES,*,YES,NO,NO,NO,*,0,1381,"7,120,450",0,0.0000
NO,NO,*,*,*,YES,YES,*,*,*,870,1381,"7,751,018","4,558,941",0.5882
*,YES,NO,*,YES,NO,*,*,YES,*,1151,1380,"9,680,089","8,191,348",0.8462
NO,YES,NO,YES,YES,*,*,YES,*,*,385,1380,"9,093,446","2,593,312",0.2852
NO,YES,*,YES,*,NO,NO,*,*,*,379,1380,"9,381,199","2,674,398",0.2851
*,NO,NO,*,*,NO,NO,*,YES,YES,1247,1379,"8,311,208","7,492,402",0.9015
NO,NO,*,*,YES,*,NO,YES,YES,*,1262,1379,"8,294,778","7,598,924",0.9161
*,YES,*,*,*,*,NO,*,YES,*,1132,1379,"9,863,101","8,255,597",0.8370
YES,*,NO,YES,*,YES,NO,NO,*,*,150,1379,"7,205,173","751,480",0.1043
NO,NO,NO,NO,YES,*,YES,YES,*,*,865,1379,"7,876,899","4,599,953",0.5840
NO,NO,*,NO,YES,*,YES,YES,*,*,865,1379,"7,876,899","4,599,953",0.5840
*,*,NO,YES,*,YES,NO,NO,NO,YES,0,1377,"7,099,514",0,0.0000
YES,YES,*,*,*,NO,YES,YES,NO,YES,1,1377,"11,597,921","2,791",0.0002
YES,*,NO,NO,*,YES,*,*,YES,YES,1237,1377,"8,851,865","7,884,708",0.8907
YES,*,*,NO,*,YES,*,*,YES,YES,1237,1377,"8,851,865","7,884,708",0.8907
*,YES,*,*,YES,NO,*,YES,YES,*,1135,1377,"10,111,422","8,526,575",0.8433
NO,NO,NO,*,*,YES,YES,*,*,*,867,1377,"7,737,059","4,546,451",0.5876
NO,*,*,YES,YES,NO,*,*,YES,YES,1198,1376,"8,575,041","7,520,663",0.8770
YES,*,*,YES,*,NO,NO,NO,*,YES,252,1376,"9,152,499","1,579,638",0.1726
*,*,NO,YES,YES,YES,NO,NO,NO,*,0,1376,"7,065,983",0,0.0000
*,YES,NO,*,*,*,YES,YES,NO,*,1,1376,"10,468,122","2,791",0.0003
NO,NO,*,*,YES,*,NO,*,NO,YES,5,1375,"7,994,093","20,723",0.0026
YES,*,*,*,*,NO,*,NO,NO,*,6,1375,"9,327,444","60,120",0.0064
*,*,NO,YES,*,NO,NO,YES,YES,*,1173,1375,"9,692,313","8,367,612",0.8633
*,NO,*,YES,*,*,*,YES,YES,*,1202,1375,"9,149,012","7,973,887",0.8716
YES,*,*,*,YES,NO,NO,*,YES,*,1163,1374,"9,910,850","8,433,754",0.8510
YES,YES,*,YES,YES,*,YES,*,NO,YES,0,1373,"11,330,486",0,0.0000
YES,NO,NO,*,*,YES,*,YES,YES,YES,1219,1373,"9,071,211","8,006,751",0.8827
*,*,NO,YES,YES,YES,NO,NO,NO,YES,0,1372,"7,045,047",0,0.0000
YES,*,NO,*,YES,NO,YES,YES,NO,*,2,1372,"11,180,119","13,903",0.0012
