in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,YES,*,*,YES,NO,*,YES,*,YES,1044,12763,"100,628,075","7,723,739",0.0768
*,NO,NO,*,YES,YES,*,*,*,YES,3461,12747,"82,057,399","19,920,977",0.2428
YES,NO,*,*,YES,*,*,*,NO,*,13,12722,"89,798,068","70,293",0.0008
*,YES,*,YES,YES,NO,*,YES,*,*,991,12702,"101,527,657","7,526,246",0.0741
YES,NO,NO,*,*,*,*,*,*,YES,2244,12691,"87,252,919","14,261,644",0.1635
*,YES,*,YES,YES,*,NO,*,NO,*,5,12690,"97,548,590","50,946",0.0005
*,YES,*,YES,YES,*,NO,YES,*,*,782,12676,"98,236,180","5,946,772",0.0605
YES,*,*,*,YES,NO,NO,YES,*,*,852,12657,"102,113,169","6,561,859",0.0643
*,*,NO,YES,*,NO,*,*,*,*,2269,12649,"92,384,211","15,215,457",0.1647
YES,NO,*,*,*,*,*,YES,*,*,1815,12647,"92,288,060","12,405,897",0.1344
*,*,NO,YES,*,*,NO,YES,*,*,1477,12642,"88,333,738","10,158,557",0.1150
YES,*,NO,*,*,*,NO,YES,NO,YES,10,12639,"91,435,390","48,003",0.0005
YES,YES,*,*,*,*,NO,*,*,YES,593,12637,"96,590,737","4,523,859",0.0468
YES,NO,*,*,*,*,NO,*,*,*,1713,12615,"86,209,002","10,795,528",0.1252
YES,YES,*,YES,*,*,*,YES,*,YES,587,12608,"98,918,991","4,581,660",0.0463
*,YES,*,*,*,NO,NO,*,*,*,1034,12583,"98,749,512","7,719,854",0.0782
YES,NO,NO,*,YES,*,*,*,*,YES,2188,12569,"86,396,379","13,858,661",0.1604
*,*,NO,YES,*,*,*,YES,NO,*,9,12569,"89,256,941","34,212",0.0004
YES,*,NO,*,YES,*,NO,YES,NO,YES,10,12565,"90,915,653","48,003",0.0005
YES,NO,*,*,*,*,*,*,NO,YES,13,12552,"87,945,062","70,293",0.0008
YES,YES,*,*,YES,*,NO,*,*,YES,579,12551,"95,915,033","4,396,535",0.0458
YES,YES,*,YES,YES,*,*,YES,*,YES,573,12539,"98,348,258","4,473,286",0.0455
YES,YES,*,*,YES,NO,*,*,*,*,721,12538,"101,052,952","5,730,245",0.0567
*,*,NO,YES,YES,*,NO,YES,*,*,1448,12514,"87,313,824","9,913,505",0.1135
