in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,NO,NO,*,YES,*,*,YES,YES,3864,4301,26668342.97,23805117.38,0.8926
YES,NO,NO,NO,YES,*,*,YES,NO,4,4295,34056742.09,29947.07,0.0009
YES,NO,*,NO,YES,*,*,YES,NO,4,4295,34056742.09,29947.07,0.0009
YES,YES,YES,YES,YES,NO,NO,YES,*,98,4287,37668696.60,899341.08,0.0239
YES,YES,YES,*,YES,NO,NO,YES,*,98,4287,37668696.60,899341.08,0.0239
*,NO,*,*,*,NO,*,*,NO,12,4282,32172489.48,69950.92,0.0022
*,NO,*,YES,YES,YES,*,YES,*,324,4273,26120075.11,1891310.63,0.0724
*,NO,*,YES,*,NO,NO,*,*,1081,4260,30892298.49,6899653.34,0.2233
*,NO,NO,YES,*,*,NO,YES,NO,7,4259,28043474.35,23322.31,0.0008
*,*,*,*,*,YES,*,*,YES,3877,4255,24889725.37,22482448.64,0.9033
NO,*,*,YES,*,*,*,*,*,1620,4234,26348147.63,9857523.63,0.3741
YES,NO,NO,YES,*,*,NO,YES,*,427,4230,28267195.16,2938564.30,0.1040
NO,NO,*,*,*,*,*,YES,*,2329,4229,25315599.07,13317845.41,0.5261
*,NO,NO,YES,YES,*,NO,YES,NO,7,4224,27790339.21,23322.31,0.0008
*,NO,NO,*,YES,*,YES,YES,*,1589,4224,29065981.69,9392940.18,0.3232
YES,NO,*,*,YES,NO,*,*,*,797,4223,32151854.94,5411774.74,0.1683
*,NO,*,YES,YES,NO,NO,*,*,1069,4211,30492220.61,6805878.77,0.2232
*,NO,*,YES,*,YES,NO,YES,*,314,4208,25810088.46,1871764.80,0.0725
YES,*,NO,NO,*,YES,*,YES,NO,3,4204,33270627.38,18835.56,0.0006
YES,*,*,NO,*,YES,*,YES,NO,3,4204,33270627.38,18835.56,0.0006
*,*,NO,NO,*,*,*,*,YES,3840,4202,24943451.76,22632644.27,0.9074
*,*,*,NO,*,*,*,*,YES,3840,4202,24943451.76,22632644.27,0.9074
YES,NO,NO,YES,YES,*,NO,YES,*,421,4198,28015463.18,2888503.37,0.1031
YES,*,*,*,*,*,*,NO,*,774,4192,24594460.35,4378931.91,0.1780
*,NO,*,*,YES,*,*,NO,*,1410,4183,22296642.10,7182791.38,0.3221
*,NO,*,YES,YES,YES,NO,YES,*,305,4176,25570605.15,1798070.70,0.0703
YES,YES,YES,YES,*,NO,NO,YES,NO,0,4175,36689920.45,0.00,0.0000
YES,YES,YES,*,*,NO,NO,YES,NO,0,4175,36689920.45,0.00,0.0000
*,NO,*,*,YES,NO,*,*,NO,11,4170,31340733.42,60286.91,0.0019
YES,*,NO,NO,YES,YES,*,YES,NO,3,4169,33028473.45,18835.56,0.0006
YES,*,*,NO,YES,YES,*,YES,NO,3,4169,33028473.45,18835.56,0.0006
YES,NO,NO,NO,*,*,NO,*,*,861,4165,30670447.31,5385997.39,0.1756
YES,NO,*,NO,*,*,NO,*,*,861,4165,30670447.31,5385997.39,0.1756
YES,*,NO,*,*,*,YES,*,*,903,4158,31578225.45,6199293.90,0.1963
YES,NO,NO,YES,*,*,*,YES,NO,6,4157,28257700.55,20188.04,0.0007
YES,YES,YES,YES,YES,NO,NO,YES,NO,0,4152,36496763.48,0.00,0.0000
YES,YES,YES,*,YES,NO,NO,YES,NO,0,4152,36496763.48,0.00,0.0000
YES,*,NO,NO,*,*,NO,YES,*,741,4151,31477660.41,4938061.81,0.1569
YES,*,*,NO,*,*,NO,YES,*,741,4151,31477660.41,4938061.81,0.1569
*,*,NO,*,*,*,YES,*,NO,3,4145,30882733.36,25112.73,0.0008
*,*,NO,NO,*,*,YES,*,*,1650,4139,27879184.38,9633385.58,0.3455
*,*,*,NO,*,*,YES,*,*,1650,4139,27879184.38,9633385.58,0.3455
NO,*,*,*,YES,*,*,*,YES,3733,4126,23794150.22,21439740.12,0.9011
*,NO,NO,YES,*,NO,*,*,*,1276,4125,28856029.07,8069129.29,0.2796
YES,NO,NO,YES,YES,*,*,YES,NO,6,4121,28001945.40,20188.04,0.0007
NO,*,NO,*,*,*,*,*,YES,3733,4120,23583362.75,21265980.81,0.9017
*,NO,*,YES,*,NO,*,YES,*,873,4116,31685621.00,6008768.77,0.1896
NO,*,*,YES,YES,*,*,*,*,1572,4115,25507017.18,9530859.76,0.3737
*,NO,*,*,*,YES,*,*,YES,3758,4109,24038214.08,21802099.85,0.9070
*,NO,*,*,*,*,NO,*,YES,3725,4100,24597491.11,22224874.84,0.9035
NO,NO,*,*,YES,*,*,YES,*,2256,4099,24532110.50,12889446.94,0.5254
*,*,*,*,YES,YES,*,*,YES,3724,4097,23837964.57,21457302.60,0.9001
*,*,NO,*,*,YES,*,*,YES,3742,4096,23893556.19,21659824.62,0.9065
NO,*,*,*,YES,NO,*,*,*,1653,4092,25840092.28,10174390.64,0.3937
YES,*,*,*,YES,*,*,NO,*,726,4078,23796114.10,4055399.61,0.1704
YES,NO,NO,NO,YES,*,NO,*,*,821,4078,30095404.24,5129537.79,0.1704
YES,NO,*,NO,YES,*,NO,*,*,821,4078,30095404.24,5129537.79,0.1704
YES,NO,NO,NO,*,YES,*,YES,NO,3,4062,32432736.10,18835.56,0.0006
YES,NO,*,NO,*,YES,*,YES,NO,3,4062,32432736.10,18835.56,0.0006
*,*,*,YES,*,*,NO,NO,*,918,4062,23621066.83,5069614.64,0.2146
*,NO,NO,YES,YES,NO,*,*,*,1251,4055,28392251.30,7894591.04,0.2781
YES,NO,NO,NO,YES,YES,*,YES,NO,3,4043,32297875.67,18835.56,0.0006
YES,NO,*,NO,YES,YES,*,YES,NO,3,4043,32297875.67,18835.56,0.0006
*,NO,*,YES,YES,NO,*,YES,*,853,4042,31146727.39,5864942.99,0.1883
*,*,NO,YES,*,YES,*,YES,*,312,4033,23903046.06,1839825.22,0.0770
YES,*,NO,NO,YES,*,NO,YES,*,705,4029,30630838.69,4687411.21,0.1530
YES,*,*,NO,YES,*,NO,YES,*,705,4029,30630838.69,4687411.21,0.1530
NO,NO,NO,*,*,*,*,YES,*,2270,4018,23767129.05,12918664.55,0.5436
*,*,*,YES,YES,*,NO,NO,*,888,4010,23192959.18,4838242.37,0.2086
NO,*,*,*,*,*,NO,YES,*,1694,4009,25476386.03,10550224.65,0.4141
*,*,NO,YES,YES,YES,*,YES,*,301,3990,23560465.13,1741301.45,0.0739
*,NO,NO,*,*,YES,*,*,YES,3650,3985,23271949.51,21144544.42,0.9086
*,*,NO,NO,YES,*,*,*,YES,3626,3981,23558137.00,21283873.51,0.9035
*,*,*,NO,YES,*,*,*,YES,3626,3981,23558137.00,21283873.51,0.9035
*,*,*,*,*,*,*,NO,NO,7,3978,23087956.24,69047.47,0.0030
YES,*,NO,*,YES,*,YES,*,*,844,3977,30204881.24,5782201.13,0.1914
*,NO,*,*,YES,*,NO,*,YES,3595,3966,23715693.08,21358061.59,0.9006
*,NO,*,*,YES,YES,*,*,YES,3613,3961,23061848.36,20837800.31,0.9036
*,NO,NO,*,*,NO,NO,*,*,1306,3958,26634521.06,7918062.55,0.2973
*,*,NO,*,YES,*,YES,*,NO,3,3952,29493420.23,25112.73,0.0009
NO,*,NO,*,YES,*,*,*,YES,3574,3952,22567744.20,20302383.28,0.8996
*,*,NO,*,YES,YES,*,*,YES,3596,3945,22904706.49,20697589.69,0.9036
YES,NO,*,YES,*,YES,*,YES,*,192,3933,24247881.16,1211053.37,0.0499
*,NO,*,YES,*,YES,*,YES,NO,2,3932,24162747.31,8578.34,0.0004
YES,*,NO,NO,*,YES,NO,*,*,740,3930,28959768.63,4639092.42,0.1602
YES,*,*,NO,*,YES,NO,*,*,740,3930,28959768.63,4639092.42,0.1602
*,*,NO,NO,YES,*,YES,*,*,1564,3929,26477341.10,9087211.56,0.3432
*,*,*,NO,YES,*,YES,*,*,1564,3929,26477341.10,9087211.56,0.3432
*,*,NO,YES,*,YES,NO,YES,*,297,3923,23318969.15,1765310.20,0.0757
YES,NO,*,YES,YES,YES,*,YES,*,187,3907,24047128.15,1163080.88,0.0484
*,NO,*,YES,YES,YES,*,YES,NO,2,3905,23973730.36,8578.34,0.0004
*,NO,*,*,*,*,NO,NO,*,1266,3905,20894603.13,6508624.75,0.3115
*,*,NO,NO,*,*,NO,YES,NO,7,3902,29510250.19,37160.46,0.0013
*,*,*,NO,*,*,NO,YES,NO,7,3902,29510250.19,37160.46,0.0013
*,*,*,*,*,*,NO,YES,YES,3394,3900,26007659.61,22704893.87,0.8730
*,*,NO,NO,*,*,YES,YES,*,1506,3900,26503482.09,8864022.94,0.3344
*,*,*,NO,*,*,YES,YES,*,1506,3900,26503482.09,8864022.94,0.3344
NO,NO,NO,*,YES,*,*,YES,*,2201,3896,23043488.21,12521528.99,0.5434
*,NO,NO,YES,*,YES,*,*,NO,2,3894,22158487.57,8578.34,0.0004
*,*,NO,*,*,*,YES,YES,NO,2,3891,29309654.60,13902.68,0.0005
*,*,NO,YES,YES,YES,NO,YES,*,288,3889,23033884.11,1680157.36,0.0729
*,*,*,*,YES,*,*,NO,NO,6,3886,22427614.56,59383.45,0.0026
YES,NO,NO,YES,*,YES,*,*,*,304,3884,22274979.49,1708177.24,0.0767
*,NO,NO,NO,*,*,*,*,YES,3556,3878,22851277.01,20796703.28,0.9101
*,NO,*,NO,*,*,*,*,YES,3556,3878,22851277.01,20796703.28,0.9101
*,*,*,YES,*,*,*,*,YES,3352,3872,25569804.61,22139685.21,0.8659
*,NO,NO,YES,YES,YES,*,*,NO,2,3871,21990126.23,8578.34,0.0004
*,NO,NO,*,*,*,NO,*,YES,3525,3871,22995374.68,20851447.48,0.9068
*,NO,NO,*,YES,NO,NO,*,*,1275,3870,26034759.42,7737712.09,0.2972
*,*,*,*,*,NO,YES,*,*,890,3865,29367792.38,6005949.94,0.2045
NO,*,*,*,YES,*,NO,YES,*,1635,3862,24448411.83,10182305.03,0.4165
YES,*,NO,*,*,*,YES,YES,*,778,3860,29733336.34,5441709.53,0.1830
YES,*,NO,NO,YES,YES,NO,*,*,708,3857,28488230.68,4434042.47,0.1556
YES,*,*,NO,YES,YES,NO,*,*,708,3857,28488230.68,4434042.47,0.1556
YES,NO,NO,YES,YES,YES,*,*,*,294,3855,22040266.32,1616935.74,0.0734
YES,*,*,*,*,*,NO,NO,*,642,3853,22442347.61,3561608.99,0.1587
*,NO,*,YES,*,YES,NO,YES,NO,2,3851,23699525.56,8578.34,0.0004
YES,*,*,*,*,*,YES,*,NO,3,3848,30697789.92,25112.73,0.0008
YES,NO,*,YES,*,YES,NO,YES,*,179,3848,23729345.11,1124143.25,0.0474
NO,*,NO,*,*,NO,*,*,*,1617,3845,23952479.94,9757119.19,0.4074
*,NO,NO,*,YES,YES,*,*,YES,3512,3844,22358494.89,20243155.98,0.9054
*,NO,NO,*,*,*,*,NO,*,1419,3844,20250500.55,7296534.34,0.3603
*,NO,*,YES,YES,YES,NO,YES,NO,2,3828,23533736.36,8578.34,0.0004
YES,NO,*,YES,YES,YES,NO,YES,*,176,3827,23566836.87,1094937.48,0.0465
*,*,*,*,*,NO,*,*,YES,3315,3819,25623531.00,22289880.83,0.8699
*,NO,*,*,YES,*,NO,NO,*,1198,3806,20216410.55,6040900.33,0.2988
*,NO,NO,YES,*,YES,NO,*,NO,2,3792,21630515.79,8578.34,0.0004
YES,*,NO,NO,*,*,NO,*,NO,5,3792,28359265.09,38163.59,0.0013
YES,*,*,NO,*,*,NO,*,NO,5,3792,28359265.09,38163.59,0.0013
NO,*,NO,NO,*,*,*,*,*,2288,3787,21738915.67,12655485.67,0.5822
NO,*,*,NO,*,*,*,*,*,2288,3787,21738915.67,12655485.67,0.5822
*,*,*,*,YES,*,NO,YES,YES,3284,3783,25194796.37,21941705.95,0.8709
YES,NO,NO,YES,*,YES,NO,*,*,284,3783,21711589.22,1582195.18,0.0729
*,NO,NO,YES,YES,YES,NO,*,NO,2,3776,21504024.02,8578.34,0.0004
*,NO,NO,*,*,NO,*,YES,*,1055,3773,27264839.31,7020922.00,0.2575
YES,*,*,*,*,*,*,*,YES,3291,3771,25626207.01,22291711.24,0.8699
YES,*,*,*,YES,*,NO,NO,*,607,3770,21843210.94,3311381.91,0.1516
*,*,NO,NO,YES,*,NO,YES,NO,6,3769,28546182.82,27496.45,0.0010
*,*,*,NO,YES,*,NO,YES,NO,6,3769,28546182.82,27496.45,0.0010
*,*,*,YES,YES,*,*,*,YES,3252,3764,24739589.86,21375815.51,0.8640
YES,NO,NO,YES,YES,YES,NO,*,*,276,3761,21523205.15,1507565.56,0.0700
YES,NO,NO,NO,*,YES,NO,*,*,728,3761,28037370.60,4573276.63,0.1631
YES,NO,*,NO,*,YES,NO,*,*,728,3761,28037370.60,4573276.63,0.1631
YES,NO,*,YES,*,NO,*,*,*,640,3760,29165178.75,4454993.90,0.1528
*,NO,NO,NO,*,*,NO,*,NO,7,3759,27811084.10,37160.46,0.0013
*,NO,*,NO,*,*,NO,*,NO,7,3759,27811084.10,37160.46,0.0013
*,NO,*,YES,*,NO,*,*,NO,8,3750,28661884.16,32619.73,0.0011
*,NO,NO,*,YES,*,NO,*,YES,3403,3745,22189481.02,20060538.61,0.9041
YES,NO,NO,YES,*,*,NO,YES,NO,6,3739,24909578.66,20188.04,0.0008
*,*,NO,NO,YES,*,YES,YES,*,1441,3730,25355949.91,8442103.88,0.3329
*,*,*,NO,YES,*,YES,YES,*,1441,3730,25355949.91,8442103.88,0.3329
*,*,NO,*,YES,*,YES,YES,NO,2,3725,28108570.76,13902.68,0.0005
YES,*,*,*,YES,*,YES,*,NO,3,3720,29706200.87,25112.73,0.0008
NO,*,*,*,*,*,*,*,NO,7,3718,23200013.94,32391.07,0.0014
*,NO,NO,NO,YES,*,*,*,YES,3400,3716,21847642.82,19821940.97,0.9073
*,NO,*,NO,YES,*,*,*,YES,3400,3716,21847642.82,19821940.97,0.9073
YES,NO,NO,YES,YES,*,NO,YES,NO,6,3713,24707907.60,20188.04,0.0008
*,NO,NO,*,YES,*,*,NO,*,1335,3712,19379205.70,6755170.78,0.3486
YES,NO,*,YES,YES,NO,*,*,*,631,3712,28768343.96,4369825.12,0.1519
YES,*,NO,*,YES,*,YES,YES,*,732,3709,28551119.74,5097921.99,0.1786
YES,NO,*,YES,*,YES,*,YES,NO,1,3706,22821052.07,5444.06,0.0002
*,NO,NO,NO,*,*,YES,*,*,1544,3706,24756757.08,8916240.13,0.3602
*,NO,*,NO,*,*,YES,*,*,1544,3706,24756757.08,8916240.13,0.3602
YES,NO,NO,NO,YES,YES,NO,*,*,696,3701,27652685.69,4368226.68,0.1580
YES,NO,*,NO,YES,YES,NO,*,*,696,3701,27652685.69,4368226.68,0.1580
NO,*,*,*,*,YES,*,*,*,2168,3695,20664559.98,11805241.52,0.5713
*,NO,NO,NO,YES,*,NO,*,NO,6,3692,27340389.35,27496.45,0.0010
*,NO,*,NO,YES,*,NO,*,NO,6,3692,27340389.35,27496.45,0.0010
*,NO,*,YES,YES,NO,*,*,NO,8,3692,28231528.27,32619.73,0.0012
*,*,*,*,*,*,NO,NO,NO,6,3685,21245556.11,57837.42,0.0027
YES,NO,*,YES,YES,YES,*,YES,NO,1,3685,22668271.55,5444.06,0.0002
*,*,NO,YES,*,YES,*,YES,NO,2,3679,21820740.92,8578.34,0.0004
YES,*,NO,NO,YES,*,NO,*,NO,3,3676,27568606.39,18835.56,0.0007
YES,*,*,NO,YES,*,NO,*,NO,3,3676,27568606.39,18835.56,0.0007
*,NO,*,*,*,NO,NO,YES,*,808,3656,27613419.19,5510996.82,0.1996
YES,*,NO,YES,*,YES,*,YES,*,184,3655,21805361.53,1159013.35,0.0532
*,*,*,*,*,YES,YES,*,*,1448,3655,24177242.59,8311020.35,0.3438
YES,*,*,*,*,*,YES,YES,NO,2,3650,29411289.88,13902.68,0.0005
NO,NO,*,*,*,*,NO,*,*,2029,3649,21033534.40,11507705.49,0.5471
*,*,NO,YES,YES,YES,*,YES,NO,2,3648,21585974.35,8578.34,0.0004
*,*,*,*,YES,NO,*,*,YES,3154,3648,24459762.29,21202386.41,0.8668
NO,*,NO,YES,*,*,*,*,*,1451,3647,22212777.39,8633127.98,0.3887
*,NO,NO,*,YES,NO,*,YES,*,1008,3646,26393871.68,6694141.73,0.2536
YES,NO,*,YES,*,YES,NO,YES,NO,1,3635,22405662.17,5444.06,0.0002
*,*,NO,YES,*,*,*,NO,*,959,3632,20680548.29,5293889.05,0.2560
*,*,*,*,YES,NO,YES,*,*,816,3624,27632614.19,5506196.69,0.1993
YES,*,NO,YES,YES,YES,*,YES,*,177,3622,21530729.30,1089004.77,0.0506
*,*,*,*,YES,*,NO,NO,NO,5,3621,20781525.69,48173.41,0.0023
YES,*,*,*,YES,*,*,*,YES,3145,3619,24503576.63,21219948.89,0.8660
NO,*,NO,*,YES,NO,*,*,*,1534,3619,22433230.88,9257840.70,0.4127
YES,NO,*,YES,YES,YES,NO,YES,NO,1,3617,22272359.70,5444.06,0.0002
NO,*,NO,*,*,*,NO,YES,*,1597,3606,22523086.10,9798798.14,0.4351
*,*,NO,*,*,YES,YES,*,*,1433,3598,23823161.63,8220796.47,0.3451
*,NO,NO,NO,YES,*,YES,*,*,1480,3598,24050719.23,8504351.63,0.3536
*,NO,*,NO,YES,*,YES,*,*,1480,3598,24050719.23,8504351.63,0.3536
YES,NO,NO,NO,*,*,NO,YES,*,675,3593,27746536.54,4465651.75,0.1609
YES,NO,*,NO,*,*,NO,YES,*,675,3593,27746536.54,4465651.75,0.1609
NO,*,NO,*,*,YES,*,*,*,2122,3589,19999213.13,11531494.45,0.5766
*,*,NO,YES,*,YES,NO,YES,NO,2,3585,21327415.05,8578.34,0.0004
*,*,NO,YES,YES,*,*,NO,*,931,3580,20260825.22,5091630.60,0.2513
*,NO,*,*,YES,NO,NO,YES,*,788,3580,27034514.42,5383639.29,0.1991
NO,*,*,*,YES,YES,*,*,*,2087,3578,19947887.65,11297740.54,0.5664
*,*,NO,NO,*,YES,NO,*,NO,5,3571,26411154.50,22150.84,0.0008
*,*,*,NO,*,YES,NO,*,NO,5,3571,26411154.50,22150.84,0.0008
YES,*,NO,YES,*,YES,NO,YES,*,177,3567,21306651.00,1109594.86,0.0521
*,*,*,*,YES,YES,YES,*,*,1398,3564,23599987.86,8003747.27,0.3391
*,*,NO,YES,YES,YES,NO,YES,NO,2,3561,21136773.43,8578.34,0.0004
NO,*,NO,NO,YES,*,*,*,*,2168,3555,20280962.76,11941271.42,0.5888
NO,*,*,NO,YES,*,*,*,*,2168,3555,20280962.76,11941271.42,0.5888
*,NO,*,*,*,YES,YES,*,*,1433,3550,23583783.61,8227024.91,0.3488
NO,NO,*,*,*,YES,*,*,*,2133,3548,19911208.58,11650653.88,0.5851
NO,*,NO,YES,YES,*,*,*,*,1412,3545,21504653.87,8383744.69,0.3899
NO,*,*,*,YES,*,*,*,NO,7,3544,21993829.71,32391.07,0.0015
YES,*,NO,YES,YES,YES,NO,YES,*,172,3542,21085764.95,1052957.21,0.0499
YES,NO,NO,NO,YES,*,NO,YES,*,653,3542,27394341.82,4316921.30,0.1576
YES,NO,*,NO,YES,*,NO,YES,*,653,3542,27394341.82,4316921.30,0.1576
YES,NO,NO,YES,*,YES,*,*,NO,1,3541,20335191.22,5444.06,0.0003
YES,*,*,*,YES,*,YES,YES,NO,2,3540,28545605.19,13902.68,0.0005
*,*,NO,*,*,*,NO,YES,YES,3111,3540,23132102.91,20394578.74,0.8817
NO,NO,*,*,YES,*,NO,*,*,1951,3536,20303972.30,11014425.47,0.5425
YES,NO,NO,YES,YES,YES,*,*,NO,1,3522,20191719.56,5444.06,0.0003
*,NO,*,*,*,NO,*,YES,NO,7,3521,27472945.77,31201.10,0.0011
*,*,NO,NO,YES,YES,NO,*,NO,5,3518,26083183.70,22150.84,0.0008
*,*,*,NO,YES,YES,NO,*,NO,5,3518,26083183.70,22150.84,0.0008
*,NO,NO,NO,*,*,YES,YES,*,1421,3515,23756541.63,8309207.41,0.3498
*,NO,*,NO,*,*,YES,YES,*,1421,3515,23756541.63,8309207.41,0.3498
*,*,NO,*,YES,YES,YES,*,*,1385,3511,23277425.11,7929048.33,0.3406
*,NO,NO,*,*,YES,YES,*,*,1421,3508,23325164.24,8163530.12,0.3500
YES,NO,*,*,*,NO,NO,*,*,644,3500,26321958.88,4281437.09,0.1627
NO,*,NO,*,YES,YES,*,*,*,2046,3481,19352385.74,11067175.41,0.5719
*,*,NO,NO,*,*,*,YES,YES,3147,3476,21249133.17,19120354.87,0.8998
*,*,*,NO,*,*,*,YES,YES,3147,3476,21249133.17,19120354.87,0.8998
YES,*,NO,*,*,*,*,NO,*,708,3475,19833656.55,3911519.67,0.1972
*,NO,*,*,YES,YES,YES,*,*,1385,3472,23093006.37,7930333.96,0.3434
NO,*,NO,*,YES,*,NO,YES,*,1541,3468,21560826.61,9457471.92,0.4386
YES,NO,NO,YES,*,YES,NO,*,NO,1,3463,19925212.71,5444.06,0.0003
NO,NO,NO,*,*,YES,*,*,*,2091,3453,19319642.15,11402722.47,0.5902
*,*,*,*,*,YES,YES,YES,*,1349,3452,23169800.66,7808217.51,0.3370
YES,NO,NO,YES,YES,YES,NO,*,NO,1,3449,19811458.26,5444.06,0.0003
NO,NO,*,*,*,*,*,*,YES,3184,3449,19258606.01,17683945.44,0.9182
*,NO,NO,*,*,*,NO,NO,*,1193,3449,18053494.11,6073539.10,0.3364
YES,*,NO,NO,*,YES,NO,YES,*,607,3445,26588721.93,3986932.35,0.1499
YES,*,*,NO,*,YES,NO,YES,*,607,3445,26588721.93,3986932.35,0.1499
*,*,*,*,*,NO,YES,YES,*,685,3445,26588149.79,4722799.21,0.1776
NO,NO,*,*,YES,YES,*,*,*,2054,3443,19264504.26,11156186.70,0.5791
YES,NO,*,*,YES,NO,NO,*,*,632,3440,25829625.31,4186793.15,0.1621
YES,*,NO,YES,*,YES,*,YES,NO,1,3439,20455554.17,5444.06,0.0003
*,NO,NO,NO,YES,*,YES,YES,*,1375,3438,23247291.46,8002735.18,0.3442
*,NO,*,NO,YES,*,YES,YES,*,1375,3438,23247291.46,8002735.18,0.3442
*,NO,NO,*,YES,YES,YES,*,*,1375,3434,22865905.21,7882364.11,0.3447
*,NO,*,*,YES,NO,*,YES,NO,7,3430,26803248.87,31201.10,0.0012
YES,NO,*,*,*,NO,*,YES,*,528,3429,27433225.90,3927336.80,0.1432
*,NO,*,*,*,NO,NO,*,NO,10,3427,25528193.97,47629.36,0.0019
*,*,NO,*,*,NO,*,*,YES,2989,3427,22356172.65,19520125.81,0.8731
*,*,NO,*,YES,*,NO,YES,YES,3004,3426,22345833.06,19657984.22,0.8797
YES,*,NO,YES,YES,YES,*,YES,NO,1,3414,20260221.11,5444.06,0.0003
*,*,NO,NO,*,YES,YES,*,*,1397,3413,22856198.31,8029607.45,0.3513
*,*,*,NO,*,YES,YES,*,*,1397,3413,22856198.31,8029607.45,0.3513
*,*,*,*,*,YES,*,YES,YES,3081,3412,20658106.47,18503696.20,0.8957
*,*,NO,*,*,YES,YES,YES,*,1339,3407,22878779.06,7745082.21,0.3385
YES,*,NO,NO,YES,YES,NO,YES,*,591,3404,26310169.41,3879495.79,0.1475
YES,*,*,NO,YES,YES,NO,YES,*,591,3404,26310169.41,3879495.79,0.1475
NO,NO,NO,*,*,*,NO,*,*,1940,3404,19315893.88,10928021.90,0.5658
YES,*,NO,*,*,*,*,*,YES,2998,3403,22666366.10,19913969.62,0.8786
NO,*,*,YES,*,NO,*,*,*,1288,3397,21981133.25,8204949.98,0.3733
*,NO,NO,NO,*,YES,NO,*,NO,5,3394,25461282.76,22150.84,0.0009
*,NO,*,NO,*,YES,NO,*,NO,5,3394,25461282.76,22150.84,0.0009
YES,NO,*,*,*,NO,*,*,NO,10,3392,26519244.83,55677.86,0.0021
*,*,NO,NO,*,YES,*,*,YES,3109,3392,20096597.89,18279445.21,0.9096
*,*,*,NO,*,YES,*,*,YES,3109,3392,20096597.89,18279445.21,0.9096
*,*,*,*,YES,YES,YES,YES,*,1312,3387,22760710.28,7577321.27,0.3329
YES,*,*,YES,*,*,*,NO,*,507,3384,20324992.51,3005773.63,0.1479
*,*,*,YES,*,*,YES,*,*,688,3381,25665850.59,4683584.70,0.1825
NO,*,*,*,*,NO,*,YES,*,1171,3380,22142294.27,7620610.18,0.3442
*,NO,NO,NO,*,YES,YES,*,*,1388,3370,22604077.98,7997845.34,0.3538
*,NO,*,NO,*,YES,YES,*,*,1388,3370,22604077.98,7997845.34,0.3538
YES,*,NO,*,YES,*,*,NO,*,662,3369,19084204.65,3601542.43,0.1887
*,NO,*,*,*,YES,YES,YES,*,1338,3361,22652314.27,7761149.03,0.3426
*,NO,NO,NO,YES,YES,NO,*,NO,5,3360,25247239.13,22150.84,0.0009
*,NO,*,NO,YES,YES,NO,*,NO,5,3360,25247239.13,22150.84,0.0009
YES,*,NO,YES,*,YES,NO,YES,NO,1,3359,20022498.16,5444.06,0.0003
*,NO,*,*,YES,NO,NO,*,NO,9,3358,24966438.43,37965.35,0.0015
*,NO,NO,*,YES,*,NO,NO,*,1130,3357,17437076.90,5655125.66,0.3243
NO,NO,NO,*,YES,YES,*,*,*,2017,3356,18735869.18,10951437.23,0.5845
*,NO,NO,NO,*,YES,*,*,YES,3075,3352,19906198.60,18117863.76,0.9102
*,NO,*,NO,*,YES,*,*,YES,3075,3352,19906198.60,18117863.76,0.9102
YES,*,*,*,*,*,*,NO,NO,6,3351,19828689.45,60120.03,0.0030
YES,NO,*,*,YES,NO,*,YES,*,509,3351,26825482.06,3775149.37,0.1407
NO,NO,NO,*,*,*,*,*,YES,3086,3345,18578146.71,17047638.27,0.9176
*,*,NO,*,YES,YES,YES,YES,*,1304,3345,22493124.92,7529710.92,0.3348
YES,*,*,YES,YES,*,*,NO,*,491,3343,19977830.18,2867909.47,0.1436
YES,*,NO,YES,YES,YES,NO,YES,NO,1,3340,19867540.35,5444.06,0.0003
*,*,NO,NO,YES,YES,YES,*,*,1352,3340,22403211.37,7759930.84,0.3464
*,*,*,NO,YES,YES,YES,*,*,1352,3340,22403211.37,7759930.84,0.3464
NO,*,*,YES,*,*,NO,*,*,1264,3330,20745737.05,7703286.08,0.3713
*,NO,NO,*,*,YES,YES,YES,*,1330,3329,22443025.14,7713528.25,0.3437
*,*,*,*,YES,YES,*,YES,YES,2999,3326,20097026.28,17963972.78,0.8939
*,*,NO,NO,YES,*,*,YES,YES,3004,3326,20299127.31,18206893.01,0.8969
*,*,*,NO,YES,*,*,YES,YES,3004,3326,20299127.31,18206893.01,0.8969
YES,NO,*,*,YES,NO,*,*,NO,9,3322,25975463.38,46013.85,0.0018
NO,NO,*,*,YES,*,*,*,YES,3060,3321,18486178.33,16922583.52,0.9154
*,*,NO,YES,*,*,*,*,YES,2891,3321,21306277.08,18547306.17,0.8705
YES,*,NO,NO,*,*,NO,YES,NO,4,3319,25887726.20,28499.58,0.0011
YES,*,*,NO,*,*,NO,YES,NO,4,3319,25887726.20,28499.58,0.0011
YES,NO,NO,NO,*,YES,NO,YES,*,598,3318,25863712.40,3939081.43,0.1523
YES,NO,*,NO,*,YES,NO,YES,*,598,3318,25863712.40,3939081.43,0.1523
YES,NO,NO,*,*,NO,*,*,*,761,3318,24353909.41,5119661.59,0.2102
NO,*,NO,*,*,*,*,*,NO,6,3314,20368330.32,22632.84,0.0011
*,*,NO,*,*,YES,*,YES,YES,2999,3310,19981392.57,17966683.57,0.8992
*,NO,*,*,YES,YES,YES,YES,*,1303,3309,22329701.38,7540834.93,0.3377
NO,NO,NO,NO,*,*,*,*,*,2121,3309,18795218.10,11636440.39,0.6191
