in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,YES,NO,YES,*,NO,*,YES,*,843,7722,58055507.33,6119991.18,0.1054
YES,YES,NO,*,*,NO,*,*,*,628,7704,58499815.53,4741661.76,0.0811
YES,*,NO,*,*,YES,NO,*,NO,4,7686,50164702.53,24279.63,0.0005
NO,*,*,*,YES,*,*,*,*,3740,7670,45787979.93,21472131.18,0.4689
*,YES,NO,YES,YES,*,*,YES,NO,2,7651,56070234.00,10890.11,0.0002
*,NO,NO,NO,YES,YES,*,YES,*,2604,7650,54345719.14,15651740.79,0.2880
*,NO,*,NO,YES,YES,*,YES,*,2604,7650,54345719.14,15651740.79,0.2880
*,YES,NO,*,YES,NO,NO,*,*,816,7646,56212807.95,5842942.19,0.1039
YES,*,NO,*,*,YES,*,YES,NO,4,7643,53726181.55,24279.63,0.0005
*,NO,NO,YES,*,*,NO,*,*,1521,7625,47134668.66,8989860.85,0.1907
YES,*,NO,*,YES,YES,NO,*,NO,4,7622,49696329.68,24279.63,0.0005
YES,YES,NO,*,YES,*,NO,*,*,478,7618,54959089.91,3552023.85,0.0646
YES,*,NO,*,YES,NO,NO,YES,*,715,7615,57846152.38,5329768.17,0.0921
YES,*,*,YES,*,YES,*,*,*,438,7604,45754979.67,2559008.11,0.0559
*,YES,NO,YES,YES,NO,*,YES,*,814,7599,57035019.13,5899783.09,0.1034
YES,*,YES,YES,*,*,*,YES,NO,0,7587,62272573.60,0.00,0.0000
YES,*,YES,*,*,*,*,YES,NO,0,7587,62272573.60,0.00,0.0000
YES,*,NO,*,YES,YES,*,YES,NO,4,7583,53288694.56,24279.63,0.0005
*,*,*,YES,*,YES,*,*,NO,2,7578,45328866.57,8578.34,0.0002
*,*,YES,YES,*,*,NO,YES,*,284,7568,61391951.86,2320073.35,0.0378
*,*,YES,*,*,*,NO,YES,*,284,7568,61391951.86,2320073.35,0.0378
*,NO,NO,YES,YES,*,NO,*,*,1491,7555,46611346.60,8761825.78,0.1880
YES,NO,NO,*,*,YES,NO,*,*,1012,7544,49748959.81,6155471.81,0.1237
YES,*,*,YES,YES,YES,*,*,*,421,7539,45231836.87,2405347.23,0.0532
YES,*,YES,YES,YES,*,*,YES,NO,0,7537,61839835.71,0.00,0.0000
