in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,NO,YES,*,NO,YES,*,NO,0,139,1113300.41,0.00,0.0000
*,*,*,YES,YES,*,YES,*,NO,0,139,1150078.79,0.00,0.0000
*,*,NO,NO,*,NO,*,YES,YES,124,139,997705.26,911805.04,0.9139
*,*,*,NO,*,NO,*,YES,YES,124,139,997705.26,911805.04,0.9139
YES,NO,*,YES,*,NO,NO,YES,*,6,139,1541107.21,70704.20,0.0459
*,*,*,*,NO,NO,YES,YES,*,38,139,990580.94,257784.32,0.2602
*,*,*,YES,NO,*,*,YES,*,25,139,1116581.51,200551.02,0.1796
*,YES,NO,NO,YES,*,NO,*,*,24,139,984730.68,169488.70,0.1721
*,YES,*,NO,YES,*,NO,*,*,24,139,984730.68,169488.70,0.1721
YES,*,*,YES,*,NO,YES,*,*,28,139,1191261.41,234025.90,0.1965
NO,NO,NO,*,*,*,YES,*,*,62,139,926326.29,424329.12,0.4581
*,NO,NO,YES,YES,NO,*,*,*,36,139,1191936.74,289611.65,0.2430
NO,YES,NO,*,YES,*,*,YES,NO,0,138,991751.57,0.00,0.0000
*,NO,NO,YES,*,*,*,YES,NO,0,138,1156284.98,0.00,0.0000
YES,*,*,*,YES,NO,YES,*,NO,0,138,1140861.79,0.00,0.0000
*,*,*,*,YES,YES,*,*,NO,0,138,1066654.55,0.00,0.0000
YES,NO,*,*,YES,NO,NO,YES,*,10,138,1484247.19,108241.90,0.0729
NO,YES,*,*,YES,*,NO,YES,*,27,138,1042585.69,239630.22,0.2298
NO,*,*,YES,YES,NO,NO,*,*,36,138,1126048.77,332812.76,0.2956
YES,YES,NO,YES,*,NO,NO,YES,NO,0,137,1229676.68,0.00,0.0000
*,YES,NO,*,YES,NO,YES,YES,NO,0,137,1033798.76,0.00,0.0000
*,*,NO,NO,NO,NO,*,YES,NO,1,137,993411.30,9664.01,0.0097
*,*,*,NO,NO,NO,*,YES,NO,1,137,993411.30,9664.01,0.0097
NO,*,NO,YES,*,NO,*,YES,NO,0,137,992114.66,0.00,0.0000
NO,NO,*,*,*,*,*,YES,NO,0,137,938228.72,0.00,0.0000
*,*,*,YES,YES,NO,YES,*,NO,0,137,1133593.86,0.00,0.0000
YES,NO,*,YES,YES,NO,*,*,NO,0,137,1459823.03,0.00,0.0000
*,*,*,*,*,NO,YES,YES,YES,122,137,1005483.42,921775.43,0.9167
YES,YES,NO,NO,*,*,NO,*,*,20,137,985330.88,151828.75,0.1541
YES,YES,*,NO,*,*,NO,*,*,20,137,985330.88,151828.75,0.1541
*,NO,NO,NO,YES,YES,*,*,*,53,137,986812.94,319429.78,0.3237
*,NO,*,NO,YES,YES,*,*,*,53,137,986812.94,319429.78,0.3237
NO,YES,*,*,*,NO,NO,YES,NO,0,136,992370.04,0.00,0.0000
*,NO,*,*,*,*,YES,YES,NO,0,136,980187.01,0.00,0.0000
YES,NO,*,YES,YES,*,NO,*,NO,0,136,1429726.05,0.00,0.0000
NO,*,NO,*,YES,*,NO,*,NO,0,136,955559.73,0.00,0.0000
*,YES,NO,NO,*,*,YES,*,NO,0,136,1001975.83,0.00,0.0000
*,YES,*,NO,*,*,YES,*,NO,0,136,1001975.83,0.00,0.0000
YES,*,NO,NO,YES,NO,*,*,NO,0,136,1001353.49,0.00,0.0000
YES,*,*,NO,YES,NO,*,*,NO,0,136,1001353.49,0.00,0.0000
YES,*,*,*,*,YES,*,*,NO,0,136,1110834.41,0.00,0.0000
NO,NO,NO,*,*,*,*,*,NO,0,136,896987.03,0.00,0.0000
*,*,NO,NO,YES,*,*,YES,YES,121,136,981942.45,895295.99,0.9118
*,*,*,NO,YES,*,*,YES,YES,121,136,981942.45,895295.99,0.9118
*,NO,*,*,*,NO,*,*,YES,117,136,1036629.15,900847.40,0.8690
*,*,NO,*,NO,*,*,*,YES,129,136,892327.30,851461.51,0.9542
YES,*,NO,NO,YES,*,NO,YES,*,20,136,1093136.61,176515.04,0.1615
YES,*,*,NO,YES,*,NO,YES,*,20,136,1093136.61,176515.04,0.1615
NO,*,NO,NO,*,NO,NO,*,*,39,136,913710.65,233464.50,0.2555
NO,*,*,NO,*,NO,NO,*,*,39,136,913710.65,233464.50,0.2555
YES,*,*,*,*,YES,NO,*,*,32,136,1097254.44,244020.03,0.2224
YES,YES,NO,NO,YES,*,*,*,*,14,136,1013306.66,124948.09,0.1233
YES,YES,*,NO,YES,*,*,*,*,14,136,1013306.66,124948.09,0.1233
*,*,*,*,NO,NO,NO,YES,NO,1,135,1061832.03,9664.01,0.0091
*,*,NO,YES,*,NO,YES,YES,NO,0,135,1074111.73,0.00,0.0000
*,*,*,YES,YES,*,YES,YES,NO,0,135,1108916.52,0.00,0.0000
YES,NO,*,YES,YES,NO,*,YES,NO,0,135,1448770.41,0.00,0.0000
NO,YES,NO,*,YES,NO,*,YES,NO,0,135,969747.35,0.00,0.0000
*,*,NO,*,*,YES,*,YES,NO,0,135,1044048.51,0.00,0.0000
YES,*,NO,*,YES,*,YES,*,NO,0,135,1087479.68,0.00,0.0000
*,*,*,*,*,NO,NO,YES,YES,116,135,1140317.95,980423.21,0.8598
*,*,NO,*,*,NO,YES,YES,YES,120,135,984648.87,900940.88,0.9150
NO,*,NO,*,YES,NO,*,*,YES,109,135,1007329.53,821806.45,0.8158
*,YES,*,*,YES,NO,*,*,YES,114,135,1129184.30,980623.35,0.8684
NO,YES,*,YES,YES,NO,*,YES,*,29,135,1016320.27,253994.57,0.2499
YES,*,NO,*,*,YES,*,YES,*,28,135,1121326.22,216572.44,0.1931
NO,YES,*,YES,YES,*,*,YES,*,29,135,1016320.27,253994.57,0.2499
*,NO,NO,*,YES,NO,NO,*,*,34,135,1111206.93,280616.21,0.2525
*,NO,NO,*,*,YES,NO,*,*,52,135,991758.47,329046.63,0.3318
*,NO,NO,YES,*,*,NO,*,*,32,135,1126865.69,262491.80,0.2329
*,*,*,YES,NO,NO,*,*,*,29,135,1091361.32,224274.74,0.2055
*,*,*,YES,YES,NO,YES,YES,NO,0,134,1100005.59,0.00,0.0000
YES,YES,NO,*,*,*,YES,YES,NO,0,134,1076773.30,0.00,0.0000
*,*,NO,*,NO,NO,NO,*,NO,2,134,1009584.21,19328.03,0.0191
NO,*,NO,NO,YES,*,*,*,NO,0,134,895379.89,0.00,0.0000
NO,*,*,NO,YES,*,*,*,NO,0,134,895379.89,0.00,0.0000
NO,NO,NO,*,*,*,*,*,YES,122,134,889231.63,804491.84,0.9047
YES,YES,NO,YES,YES,NO,NO,YES,*,11,134,1203928.33,96861.66,0.0805
NO,YES,*,*,YES,NO,NO,YES,*,26,134,1013815.86,232864.61,0.2297
*,YES,*,*,NO,*,NO,YES,*,28,134,994184.86,207721.27,0.2089
*,*,NO,*,NO,NO,YES,YES,*,38,134,954211.07,257784.32,0.2702
YES,*,*,YES,*,NO,YES,YES,*,26,134,1144722.55,213490.30,0.1865
NO,YES,*,*,*,*,YES,YES,*,42,134,915056.59,290484.45,0.3174
NO,NO,NO,*,YES,NO,*,*,*,48,134,996000.36,375741.05,0.3772
NO,YES,NO,YES,*,*,*,*,*,29,134,993177.93,226069.97,0.2276
*,*,NO,NO,YES,*,YES,YES,NO,0,133,953535.63,0.00,0.0000
*,*,*,NO,YES,*,YES,YES,NO,0,133,953535.63,0.00,0.0000
YES,YES,NO,YES,YES,NO,NO,*,NO,1,133,1185007.84,5020.52,0.0042
YES,*,NO,NO,*,NO,NO,*,NO,2,133,959830.31,19328.03,0.0201
YES,*,*,NO,*,NO,NO,*,NO,2,133,959830.31,19328.03,0.0201
*,YES,NO,NO,NO,*,*,*,NO,1,133,938512.55,9664.01,0.0103
*,YES,*,NO,NO,*,*,*,NO,1,133,938512.55,9664.01,0.0103
*,*,*,YES,*,NO,*,YES,YES,114,133,1148096.11,990393.60,0.8626
*,NO,*,*,YES,*,*,YES,YES,117,133,1013028.46,892930.45,0.8814
NO,*,NO,NO,*,*,*,YES,YES,121,133,864782.94,795830.89,0.9203
NO,*,*,NO,*,*,*,YES,YES,121,133,864782.94,795830.89,0.9203
NO,*,*,*,*,*,NO,*,YES,116,133,950699.74,822844.76,0.8655
*,*,NO,YES,*,NO,*,*,YES,112,133,1074197.49,915767.18,0.8525
*,*,NO,*,*,YES,NO,YES,*,38,133,1007577.30,259600.61,0.2576
NO,YES,*,*,*,NO,YES,YES,*,41,133,910842.80,286270.66,0.3143
NO,NO,*,*,YES,NO,*,YES,*,43,133,1013474.29,339369.94,0.3349
YES,YES,NO,*,NO,*,*,YES,*,27,133,1032625.70,201058.01,0.1947
NO,*,NO,NO,YES,*,YES,*,*,61,133,931748.40,443582.76,0.4761
NO,*,*,NO,YES,*,YES,*,*,61,133,931748.40,443582.76,0.4761
NO,YES,NO,YES,*,NO,*,*,*,29,133,985394.47,226069.97,0.2294
YES,*,*,*,YES,NO,YES,YES,NO,0,132,1081234.90,0.00,0.0000
NO,*,NO,*,*,NO,YES,YES,NO,0,132,905907.69,0.00,0.0000
*,NO,NO,NO,YES,*,*,YES,NO,0,132,969109.90,0.00,0.0000
*,NO,*,NO,YES,*,*,YES,NO,0,132,969109.90,0.00,0.0000
YES,NO,*,YES,*,NO,NO,*,NO,0,132,1447506.68,0.00,0.0000
NO,YES,NO,*,*,*,NO,*,NO,0,132,952835.88,0.00,0.0000
*,*,NO,*,YES,*,NO,*,YES,112,132,1026325.64,871961.59,0.8496
NO,*,*,YES,YES,*,NO,YES,*,33,132,1076071.11,308354.84,0.2866
YES,YES,*,*,NO,NO,*,YES,*,26,132,1020006.03,183432.99,0.1798
*,YES,NO,*,NO,NO,NO,*,*,31,132,966938.18,208467.00,0.2156
YES,NO,NO,*,*,YES,*,*,*,41,132,1045589.25,266332.64,0.2547
YES,YES,NO,YES,YES,*,NO,YES,NO,0,131,1171370.41,0.00,0.0000
*,NO,*,*,*,YES,*,*,NO,0,131,1018617.99,0.00,0.0000
*,*,*,*,*,NO,*,NO,*,52,131,974953.01,365603.51,0.3750
NO,*,*,*,NO,NO,*,YES,*,40,131,884847.25,250203.31,0.2828
NO,NO,NO,*,*,*,NO,*,*,60,131,859892.37,380162.72,0.4421
YES,YES,*,*,YES,*,YES,*,*,19,131,1078364.35,165489.20,0.1535
*,YES,NO,YES,*,*,YES,*,*,33,131,1020142.34,238780.19,0.2341
YES,YES,NO,*,NO,NO,*,*,*,29,131,1010146.22,196292.95,0.1943
YES,NO,*,YES,*,NO,NO,YES,NO,0,130,1436454.05,0.00,0.0000
YES,NO,*,YES,YES,*,NO,YES,NO,0,130,1390941.62,0.00,0.0000
*,*,NO,NO,YES,NO,NO,*,NO,0,130,926120.64,0.00,0.0000
*,*,*,NO,YES,NO,NO,*,NO,0,130,926120.64,0.00,0.0000
YES,NO,*,*,YES,NO,NO,*,NO,0,130,1373904.51,0.00,0.0000
YES,*,*,*,*,NO,*,*,YES,117,130,1098992.49,1003083.59,0.9127
*,*,NO,NO,*,YES,NO,*,*,51,130,931997.14,321487.79,0.3449
*,*,*,NO,*,YES,NO,*,*,51,130,931997.14,321487.79,0.3449
YES,*,NO,*,NO,*,NO,*,*,38,130,994621.32,287999.29,0.2896
NO,*,NO,YES,*,*,NO,*,*,33,130,1001696.22,274758.10,0.2743
NO,*,NO,NO,NO,*,*,*,*,54,130,828740.58,313652.30,0.3785
NO,*,*,NO,NO,*,*,*,*,54,130,828740.58,313652.30,0.3785
*,*,NO,*,NO,*,NO,YES,NO,1,129,977612.82,9664.01,0.0099
*,*,*,*,*,YES,NO,*,NO,0,129,993533.56,0.00,0.0000
YES,YES,NO,*,*,NO,YES,*,NO,0,129,1043620.67,0.00,0.0000
*,*,*,*,YES,*,NO,YES,YES,110,129,1114594.34,959036.66,0.8604
*,YES,NO,YES,*,NO,YES,*,*,33,129,1006641.28,238780.19,0.2372
YES,*,NO,NO,*,YES,*,*,*,38,129,1004554.03,245384.36,0.2443
YES,*,*,NO,*,YES,*,*,*,38,129,1004554.03,245384.36,0.2443
YES,*,NO,*,YES,*,YES,YES,NO,0,128,1023573.19,0.00,0.0000
YES,YES,*,*,NO,*,*,*,NO,1,128,1012249.64,9664.01,0.0095
YES,*,NO,*,*,*,*,YES,YES,117,128,1017945.96,958470.11,0.9416
*,*,*,YES,YES,NO,*,*,YES,107,128,1127708.54,949494.80,0.8420
*,NO,NO,*,*,NO,*,*,YES,111,128,964350.95,855200.71,0.8868
*,*,*,*,*,*,NO,NO,*,54,128,895872.88,359957.30,0.4018
NO,*,*,YES,YES,NO,NO,YES,*,31,128,1041537.27,284805.82,0.2734
NO,*,NO,*,NO,NO,*,YES,*,39,128,858973.15,239583.06,0.2789
*,*,NO,*,YES,YES,NO,*,*,35,128,950023.51,227405.57,0.2394
*,NO,*,*,YES,NO,YES,*,*,42,128,973935.70,337303.82,0.3463
*,YES,*,YES,YES,*,YES,*,*,28,128,1022269.10,211334.94,0.2067
NO,NO,NO,NO,YES,*,*,*,*,61,128,805646.33,413909.88,0.5138
NO,NO,*,NO,YES,*,*,*,*,61,128,805646.33,413909.88,0.5138
*,NO,NO,*,*,NO,NO,*,NO,1,127,1021382.37,9664.01,0.0095
*,YES,NO,NO,*,NO,YES,*,NO,0,127,939289.40,0.00,0.0000
*,YES,*,NO,*,NO,YES,*,NO,0,127,939289.40,0.00,0.0000
NO,*,*,*,*,*,YES,*,YES,114,127,863836.62,781050.18,0.9042
NO,*,NO,NO,*,NO,YES,YES,*,49,127,884704.27,368613.29,0.4167
NO,*,*,NO,*,NO,YES,YES,*,49,127,884704.27,368613.29,0.4167
*,NO,NO,YES,YES,NO,*,YES,*,28,127,1117215.54,237281.23,0.2124
*,NO,*,*,NO,*,*,YES,*,44,127,918812.16,287253.01,0.3126
*,YES,*,YES,YES,NO,YES,*,*,28,127,1012227.93,211334.94,0.2088
YES,YES,*,*,YES,NO,YES,*,*,19,127,1047748.13,165489.20,0.1579
YES,NO,NO,*,*,*,NO,YES,NO,0,126,1124391.71,0.00,0.0000
YES,*,NO,*,NO,NO,*,YES,NO,1,126,976884.86,9664.01,0.0099
YES,*,NO,NO,YES,NO,*,YES,NO,0,126,914299.72,0.00,0.0000
YES,*,*,NO,YES,NO,*,YES,NO,0,126,914299.72,0.00,0.0000
YES,*,NO,NO,YES,*,NO,*,NO,0,126,992348.97,0.00,0.0000
YES,*,*,NO,YES,*,NO,*,NO,0,126,992348.97,0.00,0.0000
YES,*,NO,NO,*,*,YES,*,NO,0,126,951736.62,0.00,0.0000
YES,*,*,NO,*,*,YES,*,NO,0,126,951736.62,0.00,0.0000
NO,YES,*,YES,*,*,*,*,NO,0,126,909738.54,0.00,0.0000
NO,*,NO,*,*,*,YES,*,YES,113,126,854366.80,771580.35,0.9031
*,YES,NO,NO,YES,*,NO,YES,*,18,126,894831.75,130098.23,0.1454
*,YES,*,NO,YES,*,NO,YES,*,18,126,894831.75,130098.23,0.1454
NO,YES,NO,*,*,*,YES,YES,*,41,126,857260.62,281014.63,0.3278
YES,YES,NO,NO,YES,*,*,YES,*,11,126,935688.35,97643.48,0.1044
YES,YES,*,NO,YES,*,*,YES,*,11,126,935688.35,97643.48,0.1044
YES,NO,*,YES,YES,NO,NO,*,*,7,126,1368165.29,62827.46,0.0459
*,NO,NO,NO,YES,*,NO,*,*,38,126,947215.84,270817.57,0.2859
*,NO,*,NO,YES,*,NO,*,*,38,126,947215.84,270817.57,0.2859
YES,NO,*,*,YES,NO,NO,YES,NO,0,125,1342056.33,0.00,0.0000
NO,*,NO,*,YES,*,NO,YES,NO,0,125,877135.78,0.00,0.0000
NO,YES,NO,*,*,NO,NO,*,NO,0,125,913042.46,0.00,0.0000
*,*,*,*,NO,*,YES,*,NO,0,125,890230.49,0.00,0.0000
NO,*,*,*,YES,*,YES,*,NO,0,125,890602.31,0.00,0.0000
NO,YES,NO,NO,*,*,*,*,NO,0,125,889351.16,0.00,0.0000
NO,YES,*,NO,*,*,*,*,NO,0,125,889351.16,0.00,0.0000
*,NO,NO,*,YES,*,*,YES,YES,111,125,933687.51,840221.02,0.8999
*,YES,*,*,NO,NO,NO,YES,*,27,125,919212.51,190096.25,0.2068
YES,NO,NO,*,YES,*,NO,YES,*,18,125,1119737.15,164349.38,0.1468
NO,YES,NO,*,*,NO,YES,YES,*,40,125,853046.83,276800.83,0.3245
YES,YES,*,*,YES,*,YES,YES,*,17,125,1029101.96,148307.83,0.1441
NO,NO,*,*,*,*,YES,YES,*,52,125,843064.81,358129.93,0.4248
NO,*,NO,YES,*,NO,NO,*,*,32,125,973676.50,266427.77,0.2736
YES,*,NO,NO,*,NO,YES,*,*,27,125,923757.99,204541.38,0.2214
YES,*,*,NO,*,NO,YES,*,*,27,125,923757.99,204541.38,0.2214
*,NO,NO,NO,YES,*,YES,*,*,55,125,855477.41,376920.59,0.4406
*,NO,*,NO,YES,*,YES,*,*,55,125,855477.41,376920.59,0.4406
YES,*,NO,*,YES,YES,*,*,*,27,125,997161.31,179989.07,0.1805
YES,YES,NO,*,*,NO,YES,YES,NO,0,124,1004865.40,0.00,0.0000
*,YES,NO,NO,*,*,YES,YES,NO,0,124,906247.40,0.00,0.0000
*,YES,*,NO,*,*,YES,YES,NO,0,124,906247.40,0.00,0.0000
*,NO,NO,*,*,*,YES,YES,NO,0,124,889143.33,0.00,0.0000
NO,YES,*,YES,*,NO,*,*,NO,0,124,895041.48,0.00,0.0000
YES,NO,NO,*,*,NO,*,*,NO,1,124,1013483.25,9664.01,0.0095
*,*,NO,*,YES,YES,*,*,NO,0,124,957876.04,0.00,0.0000
*,*,*,*,YES,*,YES,YES,YES,109,124,907594.43,820104.85,0.9036
*,*,NO,NO,*,*,NO,*,YES,115,124,803179.59,747699.15,0.9309
*,*,*,NO,*,*,NO,*,YES,115,124,803179.59,747699.15,0.9309
*,YES,NO,*,YES,*,*,*,YES,104,124,960912.64,821237.98,0.8546
*,YES,NO,*,NO,*,NO,YES,*,28,124,915335.26,207721.27,0.2269
*,YES,NO,YES,*,*,YES,YES,*,30,124,952508.54,215227.53,0.2260
NO,YES,NO,YES,*,*,*,YES,*,26,124,897572.58,199648.09,0.2224
*,*,NO,NO,NO,NO,NO,*,*,33,124,849106.00,193182.52,0.2275
*,*,*,NO,NO,NO,NO,*,*,33,124,849106.00,193182.52,0.2275
*,*,NO,NO,NO,*,YES,*,*,45,124,832937.77,290155.66,0.3484
*,*,*,NO,NO,*,YES,*,*,45,124,832937.77,290155.66,0.3484
*,*,NO,YES,NO,*,*,*,*,31,124,976244.67,253912.97,0.2601
*,NO,YES,YES,*,*,*,*,*,10,124,1335608.83,84961.61,0.0636
*,NO,YES,*,*,*,*,*,*,10,124,1335608.83,84961.61,0.0636
YES,YES,NO,YES,YES,NO,NO,YES,NO,0,123,1107066.68,0.00,0.0000
NO,*,*,YES,*,*,NO,*,NO,0,123,915813.03,0.00,0.0000
*,YES,*,YES,*,*,YES,*,NO,0,123,1018730.07,0.00,0.0000
*,NO,*,*,*,*,NO,*,YES,110,123,884405.78,781184.06,0.8833
*,*,*,*,YES,YES,NO,YES,*,32,123,950668.27,232757.50,0.2448
*,*,NO,NO,NO,*,NO,YES,*,36,123,862931.15,220439.05,0.2555
*,*,*,NO,NO,*,NO,YES,*,36,123,862931.15,220439.05,0.2555
YES,YES,NO,NO,*,*,NO,YES,*,17,123,878169.33,130985.21,0.1492
YES,YES,*,NO,*,*,NO,YES,*,17,123,878169.33,130985.21,0.1492
NO,NO,*,*,*,*,NO,YES,*,50,123,852708.97,331000.90,0.3882
NO,YES,NO,YES,*,NO,*,YES,*,26,123,889789.12,199648.09,0.2244
*,NO,NO,NO,YES,YES,*,YES,*,45,123,904685.32,285948.55,0.3161
*,NO,*,NO,YES,YES,*,YES,*,45,123,904685.32,285948.55,0.3161
YES,*,NO,NO,NO,*,*,YES,*,32,123,892400.17,235286.18,0.2637
YES,*,*,NO,NO,*,*,YES,*,32,123,892400.17,235286.18,0.2637
*,YES,NO,NO,YES,NO,NO,*,*,19,123,875341.20,131391.82,0.1501
*,YES,*,NO,YES,NO,NO,*,*,19,123,875341.20,131391.82,0.1501
YES,NO,NO,NO,YES,*,*,*,*,32,123,997046.92,233828.28,0.2345
YES,NO,*,NO,YES,*,*,*,*,32,123,997046.92,233828.28,0.2345
*,NO,NO,YES,*,NO,*,*,NO,0,122,1023979.57,0.00,0.0000
*,*,NO,NO,*,YES,*,*,NO,0,122,922544.21,0.00,0.0000
*,*,*,NO,*,YES,*,*,NO,0,122,922544.21,0.00,0.0000
YES,NO,*,YES,YES,NO,NO,YES,*,5,122,1352322.48,58037.26,0.0429
YES,YES,*,*,YES,NO,YES,YES,*,17,122,1002765.32,148307.83,0.1479
*,YES,NO,YES,*,NO,YES,YES,*,30,122,939007.47,215227.53,0.2292
*,YES,*,YES,YES,*,YES,YES,*,26,122,961979.94,195126.93,0.2028
YES,*,*,*,YES,YES,*,YES,*,22,122,1016388.00,167937.44,0.1652
YES,NO,NO,YES,*,*,*,*,*,23,122,1044983.23,206385.24,0.1975
NO,YES,NO,*,*,*,NO,YES,NO,0,121,879941.45,0.00,0.0000
*,YES,*,YES,*,NO,YES,*,NO,0,121,1005229.00,0.00,0.0000
*,*,NO,*,YES,*,YES,YES,YES,107,121,876718.71,799270.30,0.9117
*,*,NO,*,*,NO,*,NO,*,47,121,895130.91,325950.50,0.3641
*,*,NO,NO,*,*,*,NO,*,56,121,783692.82,325127.55,0.4149
*,*,*,NO,*,*,*,NO,*,56,121,783692.82,325127.55,0.4149
*,YES,*,YES,YES,NO,YES,YES,*,26,121,951938.77,195126.93,0.2050
*,*,*,YES,NO,NO,*,YES,*,22,121,972330.13,167160.10,0.1719
YES,YES,NO,*,NO,NO,*,YES,*,26,121,934419.94,183432.99,0.1963
NO,YES,NO,*,YES,*,NO,*,*,26,121,889537.04,197946.29,0.2225
YES,NO,*,*,*,*,YES,*,*,42,121,905788.51,304844.70,0.3366
YES,YES,NO,NO,YES,NO,*,*,*,10,121,912111.95,93616.82,0.1026
YES,YES,*,NO,YES,NO,*,*,*,10,121,912111.95,93616.82,0.1026
YES,*,NO,NO,*,NO,NO,YES,NO,1,120,855005.35,9664.01,0.0113
YES,*,*,NO,*,NO,NO,YES,NO,1,120,855005.35,9664.01,0.0113
*,YES,*,YES,*,*,YES,YES,NO,0,120,985141.80,0.00,0.0000
*,*,*,*,YES,YES,*,YES,NO,0,120,945273.84,0.00,0.0000
NO,YES,*,YES,*,*,*,YES,NO,0,120,846708.46,0.00,0.0000
NO,NO,NO,*,*,*,*,YES,NO,0,120,802776.20,0.00,0.0000
*,YES,*,*,NO,*,NO,*,NO,1,120,896464.69,9664.01,0.0108
*,*,NO,*,NO,*,YES,*,NO,0,120,853860.62,0.00,0.0000
*,NO,NO,*,*,YES,*,*,NO,0,120,930658.20,0.00,0.0000
YES,*,NO,*,*,YES,*,*,NO,0,120,990554.14,0.00,0.0000
YES,YES,NO,NO,YES,*,*,*,NO,0,120,876310.29,0.00,0.0000
YES,YES,*,NO,YES,*,*,*,NO,0,120,876310.29,0.00,0.0000
NO,*,*,*,YES,NO,*,YES,YES,100,120,943838.84,796535.80,0.8439
*,YES,*,*,YES,*,*,YES,YES,102,120,1009160.32,886211.06,0.8782
*,NO,NO,NO,*,*,*,YES,YES,113,120,823369.88,787336.19,0.9562
*,NO,*,NO,*,*,*,YES,YES,113,120,823369.88,787336.19,0.9562
NO,NO,NO,*,*,*,YES,YES,*,52,120,806570.96,358129.93,0.4440
*,NO,YES,YES,*,*,*,YES,*,9,120,1298813.48,79095.59,0.0609
*,NO,YES,*,*,*,*,YES,*,9,120,1298813.48,79095.59,0.0609
YES,*,*,*,NO,NO,NO,*,*,25,120,954862.33,192025.93,0.2011
YES,YES,NO,NO,*,NO,NO,*,*,16,120,868671.61,120497.48,0.1387
YES,YES,*,NO,*,NO,NO,*,*,16,120,868671.61,120497.48,0.1387
YES,*,NO,*,*,YES,NO,*,*,31,120,968260.08,226395.01,0.2338
*,*,NO,NO,YES,NO,NO,YES,NO,0,119,846889.01,0.00,0.0000
*,*,*,NO,YES,NO,NO,YES,NO,0,119,846889.01,0.00,0.0000
*,YES,NO,NO,NO,NO,*,*,NO,1,119,850355.81,9664.01,0.0114
*,YES,*,NO,NO,NO,*,*,NO,1,119,850355.81,9664.01,0.0114
NO,YES,NO,NO,*,NO,*,*,NO,0,119,857341.20,0.00,0.0000
NO,YES,*,NO,*,NO,*,*,NO,0,119,857341.20,0.00,0.0000
*,*,*,YES,NO,*,*,*,NO,0,119,966851.98,0.00,0.0000
YES,*,*,*,YES,*,*,*,YES,103,119,1016267.50,896994.60,0.8826
NO,YES,*,*,*,*,*,*,YES,101,119,869481.93,743580.30,0.8552
YES,*,*,*,NO,*,NO,YES,*,23,119,964016.52,186077.42,0.1930
YES,*,NO,NO,NO,NO,*,*,*,29,119,839790.04,198372.79,0.2362
YES,*,*,NO,NO,NO,*,*,*,29,119,839790.04,198372.79,0.2362
YES,NO,NO,*,YES,NO,*,*,*,28,119,1011816.68,242178.97,0.2394
NO,YES,NO,NO,YES,*,*,*,*,39,119,846207.54,267263.21,0.3158
NO,YES,*,NO,YES,*,*,*,*,39,119,846207.54,267263.21,0.3158
*,YES,*,YES,*,NO,YES,YES,NO,0,118,971640.73,0.00,0.0000
*,NO,NO,YES,*,NO,*,YES,NO,0,118,1000936.77,0.00,0.0000
NO,YES,*,YES,*,NO,*,YES,NO,0,118,832011.40,0.00,0.0000
*,YES,NO,NO,NO,*,*,YES,NO,1,118,845396.13,9664.01,0.0114
*,YES,*,NO,NO,*,*,YES,NO,1,118,845396.13,9664.01,0.0114
YES,YES,*,*,NO,*,*,YES,NO,1,118,929021.41,9664.01,0.0104
NO,*,NO,NO,YES,*,*,YES,NO,0,118,767875.66,0.00,0.0000
NO,*,*,NO,YES,*,*,YES,NO,0,118,767875.66,0.00,0.0000
NO,*,NO,*,YES,NO,NO,*,NO,0,118,863337.31,0.00,0.0000
YES,YES,NO,NO,*,*,NO,*,NO,1,118,843166.14,9664.01,0.0115
YES,YES,*,NO,*,*,NO,*,NO,1,118,843166.14,9664.01,0.0115
NO,NO,*,*,*,NO,*,*,NO,0,118,846766.85,0.00,0.0000
NO,*,NO,*,*,*,NO,*,YES,101,118,804401.43,676546.45,0.8411
NO,NO,NO,*,YES,NO,*,YES,*,41,118,895729.55,328492.89,0.3667
*,NO,NO,*,YES,NO,YES,*,*,42,118,896610.11,337303.82,0.3762
*,*,NO,*,NO,NO,NO,YES,NO,1,117,885312.69,9664.01,0.0109
YES,NO,NO,NO,*,*,*,*,NO,1,117,952553.05,9664.01,0.0101
YES,NO,*,NO,*,*,*,*,NO,1,117,952553.05,9664.01,0.0101
*,*,*,YES,YES,*,*,YES,YES,98,117,1040246.33,883845.52,0.8497
*,*,NO,YES,*,*,*,YES,YES,99,117,943775.19,809107.25,0.8573
*,*,*,*,YES,NO,NO,*,YES,96,117,1040239.63,860556.24,0.8273
*,YES,NO,*,YES,NO,*,*,YES,97,117,912623.66,772949.00,0.8470
*,YES,NO,*,NO,NO,NO,YES,*,27,117,858770.71,190096.25,0.2214
*,NO,NO,*,YES,NO,NO,YES,*,27,117,1001557.56,243452.46,0.2431
NO,*,NO,NO,*,NO,NO,YES,*,31,117,822996.27,196497.62,0.2388
NO,*,*,NO,*,NO,NO,YES,*,31,117,822996.27,196497.62,0.2388
NO,YES,NO,*,YES,NO,NO,*,*,25,117,860767.21,191180.68,0.2221
*,YES,NO,NO,*,NO,YES,YES,NO,0,116,847840.56,0.00,0.0000
*,YES,*,NO,*,NO,YES,YES,NO,0,116,847840.56,0.00,0.0000
YES,NO,*,YES,YES,NO,NO,*,NO,0,116,1271388.88,0.00,0.0000
