in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,NO,*,YES,YES,NO,NO,YES,*,19,164,1703984.77,161953.57,0.0950
*,YES,*,YES,*,*,YES,*,*,35,164,1319492.35,259614.74,0.1968
*,YES,*,*,YES,NO,YES,YES,NO,0,163,1270710.32,0.00,0.0000
YES,*,NO,*,*,NO,YES,YES,NO,0,163,1290589.70,0.00,0.0000
YES,YES,*,*,*,*,YES,*,NO,0,163,1339956.31,0.00,0.0000
YES,NO,NO,*,YES,*,*,*,NO,0,163,1414909.51,0.00,0.0000
*,YES,*,*,*,NO,*,YES,YES,143,163,1283802.53,1148686.82,0.8948
*,*,*,*,*,NO,YES,*,YES,144,163,1186308.31,1075175.75,0.9063
YES,YES,NO,YES,*,*,NO,YES,*,17,163,1461553.17,158282.16,0.1083
YES,NO,*,YES,*,*,NO,YES,*,9,163,1726534.35,90142.18,0.0522
YES,YES,NO,*,*,NO,YES,*,*,30,163,1299977.26,234134.30,0.1801
*,NO,NO,*,YES,YES,*,*,*,58,163,1169134.02,352907.66,0.3019
NO,YES,*,*,YES,NO,*,YES,NO,0,162,1160059.12,0.00,0.0000
*,NO,NO,*,YES,NO,*,*,NO,0,162,1284856.37,0.00,0.0000
NO,*,NO,*,YES,NO,NO,YES,*,39,162,1221288.49,312538.16,0.2559
NO,*,*,YES,*,*,NO,YES,*,39,162,1274014.01,350564.03,0.2752
YES,*,NO,*,NO,NO,*,YES,*,37,162,1238609.92,271389.07,0.2191
*,NO,*,YES,*,NO,NO,YES,NO,0,161,1683914.67,0.00,0.0000
YES,*,*,*,YES,*,YES,*,NO,0,161,1332226.20,0.00,0.0000
YES,*,*,*,NO,NO,*,*,NO,2,161,1288209.76,19328.03,0.0150
YES,NO,*,YES,*,NO,*,*,NO,0,161,1681109.15,0.00,0.0000
*,*,NO,*,*,NO,YES,*,YES,142,161,1165473.76,1054341.20,0.9046
*,NO,NO,YES,*,NO,*,YES,*,36,161,1352401.37,294313.70,0.2176
*,YES,*,YES,*,NO,YES,*,*,35,161,1295950.11,259614.74,0.2003
YES,YES,*,*,NO,*,*,*,*,32,161,1241782.30,224648.09,0.1809
*,*,NO,NO,*,NO,YES,YES,NO,0,160,1122385.65,0.00,0.0000
*,*,*,NO,*,NO,YES,YES,NO,0,160,1122385.65,0.00,0.0000
YES,NO,*,*,*,NO,NO,*,NO,1,160,1649498.85,9664.01,0.0059
NO,*,NO,*,*,*,YES,*,NO,0,160,1097785.96,0.00,0.0000
*,*,*,YES,*,NO,*,*,YES,136,160,1367717.65,1173769.54,0.8582
*,NO,*,*,YES,*,*,*,YES,140,160,1169730.99,1023537.12,0.8750
*,NO,NO,NO,*,*,*,*,YES,150,160,1048960.75,991779.58,0.9455
*,NO,*,NO,*,*,*,*,YES,150,160,1048960.75,991779.58,0.9455
*,NO,*,*,*,NO,YES,YES,*,52,160,1166191.56,407187.12,0.3492
NO,YES,NO,NO,*,NO,*,YES,*,47,160,1126843.77,322870.06,0.2865
NO,YES,*,NO,*,NO,*,YES,*,47,160,1126843.77,322870.06,0.2865
NO,NO,NO,*,*,NO,*,YES,*,57,160,1163492.34,419433.47,0.3605
NO,*,NO,YES,YES,*,*,YES,*,40,160,1218963.56,305038.76,0.2502
NO,YES,*,YES,*,*,*,YES,*,33,160,1184506.57,282938.30,0.2389
*,*,NO,NO,NO,*,NO,*,*,55,160,1076108.75,326720.91,0.3036
*,*,*,NO,NO,*,NO,*,*,55,160,1076108.75,326720.91,0.3036
*,YES,NO,NO,NO,NO,*,*,*,41,160,1105281.49,256917.56,0.2324
*,YES,*,NO,NO,NO,*,*,*,41,160,1105281.49,256917.56,0.2324
*,*,*,YES,NO,*,*,*,*,36,160,1287981.41,290846.47,0.2258
YES,YES,NO,YES,YES,NO,*,YES,NO,0,159,1405360.42,0.00,0.0000
*,*,NO,*,*,YES,*,*,NO,0,159,1196270.85,0.00,0.0000
*,YES,NO,NO,*,NO,YES,YES,*,38,159,1158079.97,278526.23,0.2405
*,YES,*,NO,*,NO,YES,YES,*,38,159,1158079.97,278526.23,0.2405
*,*,*,*,NO,*,YES,YES,*,45,159,1119924.71,300217.82,0.2681
